combination,minutes,target,range size,min atr,net profit,max drawdown,profit/dd,total trades,percent profitable,max con loss,sharpe ratio
1,1,0.1,0.1,1.0,-745.22,1092.5499999998663,-0.68,153.0,43.14,5.0,-0.02
2,1,0.1,0.1,1.1,-1148.34,1264.119999999728,-0.91,141.0,41.13,5.0,-0.46
3,1,0.1,0.1,1.2000000000000002,-1374.58,1456.659999999758,-0.94,117.0,39.32,5.0,-0.87
4,1,0.1,0.1,1.3000000000000003,-813.48,1059.5999999999112,-0.77,102.0,42.16,5.0,-0.36
5,1,0.1,0.1,1.4000000000000004,-928.68,1080.6399999999248,-0.86,82.0,40.24,6.0,-0.67
6,1,0.1,0.1,1.5000000000000004,-729.14,1002.7199999999319,-0.73,61.0,40.98,5.0,-0.62
7,1,0.1,0.1,1.6000000000000005,-865.9,974.0499999999138,-0.89,35.0,34.29,5.0,-1.33
8,1,0.1,0.1,1.7000000000000006,-719.54,943.9899999999598,-0.76,21.0,28.57,9.0,-1.59
9,1,0.1,0.1,1.8000000000000007,-296.36,425.54999999997926,-0.7,14.0,35.71,3.0,-0.68
10,1,0.1,0.2,1.0,-877.54,2133.3699999997407,-0.41,221.0,47.51,6.0,0.12
11,1,0.1,0.2,1.1,-1471.1799999999996,2432.849999999737,-0.6,207.0,45.89,6.0,-0.35
12,1,0.1,0.2,1.2000000000000002,-1943.72,2186.489999999736,-0.89,178.0,44.38,6.0,-0.84
13,1,0.1,0.2,1.3000000000000003,-1484.1799999999996,1819.0899999997587,-0.82,157.0,45.86,6.0,-0.6
14,1,0.1,0.2,1.4000000000000004,-1385.6799999999996,1674.919999999871,-0.83,132.0,45.45,6.0,-0.67
15,1,0.1,0.2,1.5000000000000004,-857.7,1541.04999999985,-0.56,105.0,47.62,6.0,-0.35
16,1,0.1,0.2,1.6000000000000005,-1448.1,1949.889999999912,-0.74,65.0,41.54,7.0,-1.38
17,1,0.1,0.2,1.7000000000000006,-1505.9,1696.4199999999328,-0.89,35.0,31.43,14.0,-2.29
18,1,0.1,0.2,1.8000000000000007,-918.5,1013.7599999999546,-0.91,25.0,36.0,7.0,-1.52
19,1,0.1,0.30000000000000004,1.0,-961.76,2312.8499999997352,-0.42,224.0,47.77,6.0,0.07
20,1,0.1,0.30000000000000004,1.1,-1555.4,2612.329999999731,-0.6,210.0,46.19,6.0,-0.39
21,1,0.1,0.30000000000000004,1.2000000000000002,-2123.2,2365.969999999731,-0.9,180.0,44.44,6.0,-0.95
22,1,0.1,0.30000000000000004,1.3000000000000003,-1663.66,1998.5699999997516,-0.83,159.0,45.91,6.0,-0.72
23,1,0.1,0.30000000000000004,1.4000000000000004,-1565.16,1854.3999999998632,-0.84,134.0,45.52,6.0,-0.79
24,1,0.1,0.30000000000000004,1.5000000000000004,-1037.18,1720.5299999998426,-0.6,107.0,47.66,6.0,-0.49
25,1,0.1,0.30000000000000004,1.6000000000000005,-1352.84,1854.6299999999121,-0.73,66.0,42.42,7.0,-1.25
26,1,0.1,0.30000000000000004,1.7000000000000006,-1410.64,1601.1599999999326,-0.88,36.0,33.33,7.0,-2.06
