combination,minutes,target,range size,min atr,net profit,max drawdown,profit/dd,total trades,percent profitable,max con loss,sharpe ratio
1,1.0,0.5,2.0,10.0,-743.6,850.9499999999989,-0.87,96.0,76.04,3.0,-0.69
2,1.0,0.5,2.0,20.0,-528.4,593.9499999999989,-0.89,74.0,77.03,2.0,-0.5
3,1.0,0.5,2.0,30.0,-111.3,224.60000000000036,-0.5,18.0,77.78,1.0,-0.17
4,1.0,0.5,2.0,40.0,92.4,118.65000000000146,0.78,11.0,90.91,1.0,1.0
5,1.0,0.5,4.0,10.0,-1118.2,1428.649999999996,-0.78,227.0,81.5,2.0,-0.22
6,1.0,0.5,4.0,20.0,-991.3,1416.949999999997,-0.7,193.0,81.87,2.0,-0.26
7,1.0,0.5,4.0,30.0,279.6,441.84999999999854,0.63,69.0,88.41,1.0,1.42
8,1.0,0.5,4.0,40.0,439.9,156.14999999999964,2.82,36.0,94.44,1.0,2.68
9,1.0,0.5,6.0,10.0,-867.4,1303.2499999999964,-0.67,239.0,82.43,2.0,0.13
10,1.0,0.5,6.0,20.0,-782.3,1312.449999999997,-0.6,203.0,82.76,2.0,0.06
11,1.0,0.5,6.0,30.0,384.1,379.9500000000007,1.01,74.0,89.19,1.0,1.73
12,1.0,0.5,6.0,40.0,460.8,156.14999999999964,2.95,37.0,94.59,1.0,2.79
13,1.0,0.5,8.0,10.0,-867.4,1303.2499999999964,-0.67,239.0,82.43,2.0,0.13
14,1.0,0.5,8.0,20.0,-782.3,1312.449999999997,-0.6,203.0,82.76,2.0,0.06
15,1.0,0.5,8.0,30.0,384.1,379.9500000000007,1.01,74.0,89.19,1.0,1.73
16,1.0,0.5,8.0,40.0,460.8,156.14999999999964,2.95,37.0,94.59,1.0,2.79
17,1.0,0.5,10.0,10.0,-867.4,1303.2499999999964,-0.67,239.0,82.43,2.0,0.13
18,1.0,0.5,10.0,20.0,-782.3,1312.449999999997,-0.6,203.0,82.76,2.0,0.06
19,1.0,0.5,10.0,30.0,384.1,379.9500000000007,1.01,74.0,89.19,1.0,1.73
20,1.0,0.5,10.0,40.0,460.8,156.14999999999964,2.95,37.0,94.59,1.0,2.79
21,1.0,0.5,12.0,10.0,-846.5,1303.2499999999964,-0.65,240.0,82.5,2.0,0.16
22,1.0,0.5,12.0,20.0,-761.4,1312.449999999997,-0.58,204.0,82.84,2.0,0.1
23,1.0,0.5,12.0,30.0,405.0,379.9500000000007,1.07,75.0,89.33,1.0,1.79
24,1.0,0.5,12.0,40.0,481.7,156.14999999999964,3.08,38.0,94.74,1.0,2.9
25,1.0,1.0,2.0,10.0,-1031.1,1214.6999999999953,-0.85,96.0,61.46,4.0,-0.9
26,1.0,1.0,2.0,20.0,-778.4,870.1999999999971,-0.89,74.0,62.16,4.0,-0.75
27,1.0,1.0,2.0,30.0,-236.3,486.90000000000146,-0.49,18.0,61.11,3.0,-0.5
28,1.0,1.0,2.0,40.0,29.9,222.75,0.13,11.0,72.73,2.0,0.31
29,1.0,1.0,4.0,10.0,-1330.7,1863.749999999991,-0.71,227.0,69.16,4.0,-0.34
30,1.0,1.0,4.0,20.0,-1228.8,1789.549999999992,-0.69,193.0,69.43,4.0,-0.39
31,1.0,1.0,4.0,30.0,292.1,795.3499999999985,0.37,69.0,76.81,2.0,0.89
32,1.0,1.0,4.0,40.0,327.4,476.0499999999993,0.69,36.0,80.56,2.0,1.03
33,1.0,1.0,6.0,10.0,-779.9,1542.4499999999916,-0.51,239.0,70.71,4.0,0.17
