combination,minutes,target,range size,min atr,net profit,max drawdown,profit/dd,total trades,percent profitable,max con loss,sharpe ratio
1,1.0,4.0,10.0,50.0,1163.3,941.7499999999982,1.24,137.0,70.8,5.0,1.38
2,1.0,4.0,10.0,60.0,710.2,941.75,0.75,128.0,69.53,5.0,1.01
3,1.0,4.0,10.0,70.0,767.2,941.75,0.81,108.0,70.37,5.0,1.08
4,1.0,4.0,10.0,80.0,326.0,1225.6499999999996,0.27,90.0,68.89,5.0,0.67
5,1.0,4.0,10.0,90.0,484.0,608.0500000000011,0.8,60.0,70.0,2.0,0.89
6,1.0,4.0,20.0,50.0,-179.39999999999998,1794.8500000000004,-0.1,234.0,71.79,5.0,0.4
7,1.0,4.0,20.0,60.0,-936.1,1838.6499999999924,-0.51,221.0,70.59,5.0,-0.02
8,1.0,4.0,20.0,70.0,-1258.6,1800.3499999999913,-0.7,196.0,70.41,5.0,-0.25
9,1.0,4.0,20.0,80.0,-2163.8,2651.149999999998,-0.82,168.0,68.45,5.0,-0.83
10,1.0,4.0,20.0,90.0,-1661.1,2004.4499999999898,-0.83,121.0,68.6,3.0,-0.76
11,1.0,4.0,30.0,50.0,48.299999999999955,1648.25,0.03,237.0,72.15,5.0,0.52
12,1.0,4.0,30.0,60.0,-708.4,1648.25,-0.43,224.0,70.98,5.0,0.11
13,1.0,4.0,30.0,70.0,-1030.9,1648.2499999999982,-0.63,199.0,70.85,5.0,-0.12
14,1.0,4.0,30.0,80.0,-1936.1,2499.349999999993,-0.77,171.0,69.01,5.0,-0.7
15,1.0,4.0,30.0,90.0,-1509.3,1863.4499999999953,-0.81,123.0,69.11,3.0,-0.66
16,1.0,4.0,40.0,50.0,-634.9,2402.1499999999996,-0.26,239.0,71.97,5.0,0.16
17,1.0,4.0,40.0,60.0,-1391.6,2402.149999999998,-0.58,226.0,70.8,5.0,-0.22
18,1.0,4.0,40.0,70.0,-1714.1,2402.149999999998,-0.71,201.0,70.65,5.0,-0.44
19,1.0,4.0,40.0,80.0,-2619.3,3182.550000000011,-0.82,173.0,68.79,5.0,-0.99
20,1.0,4.0,40.0,90.0,-2192.5,2535.849999999994,-0.86,125.0,68.8,3.0,-0.98
21,1.0,4.0,50.0,50.0,-634.9,2402.1499999999996,-0.26,239.0,71.97,5.0,0.16
22,1.0,4.0,50.0,60.0,-1391.6,2402.149999999998,-0.58,226.0,70.8,5.0,-0.22
23,1.0,4.0,50.0,70.0,-1714.1,2402.149999999998,-0.71,201.0,70.65,5.0,-0.44
24,1.0,4.0,50.0,80.0,-2619.3,3182.550000000011,-0.82,173.0,68.79,5.0,-0.99
