combination,minutes,target,range size,min atr,net profit,max drawdown,profit/dd,total trades,percent profitable,max con loss,sharpe ratio
1,1.0,2.0,2.0,10.0,491.9,995.3499999999185,0.49,91.0,50.55,6.0,0.98
2,1.0,2.0,2.0,12.0,300.1,995.3499999999185,0.3,89.0,49.44,6.0,0.76
3,1.0,2.0,2.0,14.0,688.8,638.9499999999425,1.08,82.0,52.44,6.0,1.21
4,1.0,2.0,2.0,16.0,670.8,604.5999999999494,1.11,62.0,53.23,6.0,1.27
5,1.0,2.0,2.0,18.0,934.7,292.2999999999738,3.2,33.0,63.64,3.0,2.04
6,1.0,2.0,4.0,10.0,1212.5,1344.9499999998152,0.9,225.0,57.33,9.0,1.32
7,1.0,2.0,4.0,12.0,924.8,1344.9499999998152,0.69,222.0,56.76,9.0,1.14
8,1.0,2.0,4.0,14.0,1240.8,1312.6499999998214,0.95,212.0,58.02,9.0,1.34
9,1.0,2.0,4.0,16.0,-177.89999999999998,1545.2499999998436,-0.12,169.0,55.03,9.0,0.36
10,1.0,2.0,4.0,18.0,1112.2,782.3499999999221,1.42,108.0,61.11,4.0,1.37
11,1.0,2.0,6.0,10.0,1051.9,1578.2499999997872,0.67,241.0,58.09,9.0,1.18
12,1.0,2.0,6.0,12.0,764.2,1578.2499999997872,0.48,238.0,57.56,9.0,1.01
13,1.0,2.0,6.0,14.0,1080.2,1545.9499999997934,0.7,228.0,58.77,9.0,1.18
14,1.0,2.0,6.0,16.0,-434.4,1778.5499999998156,-0.24,184.0,55.98,9.0,0.21
15,1.0,2.0,6.0,18.0,1268.0,686.2499999999563,1.85,120.0,62.5,4.0,1.42
16,1.0,2.0,8.0,10.0,1147.8,1578.2499999997872,0.73,242.0,58.26,9.0,1.23
17,1.0,2.0,8.0,12.0,860.1,1578.2499999997872,0.54,239.0,57.74,9.0,1.06
18,1.0,2.0,8.0,14.0,1176.1,1545.9499999997934,0.76,229.0,58.95,9.0,1.24
19,1.0,2.0,8.0,16.0,-338.5,1778.5499999998156,-0.19,185.0,56.22,9.0,0.27
20,1.0,2.0,8.0,18.0,1363.9,686.2499999999545,1.99,121.0,62.81,4.0,1.49
21,1.0,2.0,10.0,10.0,1147.8,1578.2499999997872,0.73,242.0,58.26,9.0,1.23
22,1.0,2.0,10.0,12.0,860.1,1578.2499999997872,0.54,239.0,57.74,9.0,1.06
