date,type,lots,price,S/L,T/P,commission,comment,profit,net profit,accumulated profit,max profit
2019-01-15 09:41:05,Buy,1,51.739999999999995,51.37,52.239999999999995,2.37,entry_buy,0,-2.37,9997.63,9997.63
2019-01-15 14:26:35,Sell,1,52.239999999999995,51.37,52.239999999999995,2.37,take profit,500.0,497.63,10495.26,10495.26
2019-01-17 09:50:00,Buy,1,52.04,51.79,52.54,2.37,entry_buy,0,-2.37,10492.89,10495.26
2019-01-17 10:01:00,Sell,1,51.79,51.79,52.54,2.37,stop loss,-250.0,-252.37,10240.52,10495.26
2019-01-18 09:44:10,Sell,1,52.71,53.01,52.21,2.37,entry_sell,0,-2.37,10238.15,10495.26
2019-01-18 10:06:20,Buy,1,53.01,53.01,52.21,2.37,stop loss,-299.99999999999716,-302.36999999999716,9935.780000000002,10495.26
2019-01-21 09:40:00,Sell,1,54.24,54.4,53.74,2.37,entry_sell,0,-2.37,9933.410000000003,10495.26
2019-01-21 10:09:00,Buy,1,54.4,54.4,53.74,2.37,stop loss,-159.9999999999966,-162.3699999999966,9771.040000000006,10495.26
2019-01-22 09:45:35,Sell,1,52.800000000000004,52.98,52.300000000000004,2.37,entry_sell,0,-2.37,9768.670000000006,10495.26
2019-01-22 10:06:10,Buy,1,52.300000000000004,52.98,52.300000000000004,2.37,take profit,500.0,497.63,10266.300000000007,10495.26
2019-01-23 09:52:25,Sell,1,53.07,53.31,52.57,2.37,entry_sell,0,-2.37,10263.930000000006,10495.26
2019-01-23 11:26:40,Buy,1,52.57,53.31,52.57,2.37,take profit,500.0,497.63,10761.560000000007,10761.560000000007
2019-01-24 09:41:05,Sell,1,52.56,52.82,52.06,2.37,entry_sell,0,-2.37,10759.190000000006,10761.560000000007
2019-01-24 10:21:00,Buy,1,52.82,52.82,52.06,2.37,stop loss,-259.999999999998,-262.369999999998,10496.820000000009,10761.560000000007
2019-01-25 09:46:55,Buy,1,53.44,53.12,53.94,2.37,entry_buy,0,-2.37,10494.450000000008,10761.560000000007
