date,type,lots,price,S/L,T/P,commission,comment,profit,net profit,accumulated profit,max profit
2019-01-15 09:34:15,Buy,1,2588.5,2584.25,2594.0,2.05,entry_buy,0,-2.05,9997.95,9997.95
2019-01-15 09:36:40,Sell,1,2594.0,2584.25,2594.0,2.05,take profit,275.0,272.95,10270.9,10270.9
2019-01-16 09:34:05,Buy,1,2617.25,2612.75,2622.75,2.05,entry_buy,0,-2.05,10268.85,10270.9
2019-01-16 09:46:30,Sell,1,2622.75,2612.75,2622.75,2.05,take profit,275.0,272.95,10541.8,10541.8
2019-01-17 09:36:00,Buy,1,2611.75,2605.5,2617.25,2.05,entry_buy,0,-2.05,10539.75,10541.8
2019-01-17 09:53:20,Sell,1,2617.25,2605.5,2617.25,2.05,take profit,275.0,272.95,10812.7,10812.7
2019-01-21 09:34:10,Sell,1,2658.75,2663.0,2653.25,2.05,entry_sell,0,-2.05,10810.65,10812.7
2019-01-21 12:24:00,Buy,1,2663.0,2663.0,2653.25,2.05,stop loss,-212.5,-214.55,10596.1,10812.7
2019-01-22 09:34:05,Sell,1,2651.75,2656.0,2646.25,2.05,entry_sell,0,-2.05,10594.05,10812.7
2019-01-22 09:38:50,Buy,1,2656.0,2656.0,2646.25,2.05,stop loss,-212.5,-214.55,10379.5,10812.7
2019-01-23 09:34:45,Buy,1,2647.75,2645.0,2653.25,2.05,entry_buy,0,-2.05,10377.45,10812.7
2019-01-23 10:04:40,Sell,1,2653.25,2645.0,2653.25,2.05,take profit,275.0,272.95,10650.4,10812.7
2019-01-24 09:36:10,Buy,1,2638.5,2634.0,2644.0,2.05,entry_buy,0,-2.05,10648.35,10812.7
2019-01-24 09:38:25,Sell,1,2634.0,2634.0,2644.0,2.05,stop loss,-225.0,-227.05,10421.3,10812.7
2019-01-25 09:34:00,Sell,1,2658.0,2661.75,2652.5,2.05,entry_sell,0,-2.05,10419.25,10812.7
2019-01-25 09:50:15,Buy,1,2661.75,2661.75,2652.5,2.05,stop loss,-187.5,-189.55,10229.7,10812.7
2019-01-28 09:39:50,Sell,1,2633.0,2639.0,2627.5,2.05,entry_sell,0,-2.05,10227.65,10812.7
2019-01-28 10:04:15,Buy,1,2627.5,2639.0,2627.5,2.05,take profit,275.0,272.95,10500.6,10812.7
2019-01-29 09:34:55,Buy,1,2645.75,2642.75,2651.25,2.05,entry_buy,0,-2.05,10498.55,10812.7
2019-01-29 09:36:15,Sell,1,2642.75,2642.75,2651.25,2.05,stop loss,-150.0,-152.05,10346.5,10812.7
2019-01-30 09:41:40,Sell,1,2653.0,2656.75,2647.5,2.05,entry_sell,0,-2.05,10344.45,10812.7
2019-01-30 10:02:45,Buy,1,2647.5,2656.75,2647.5,2.05,take profit,275.0,272.95,10617.4,10812.7
2019-01-31 09:34:00,Sell,1,2677.5,2681.0,2672.0,2.05,entry_sell,0,-2.05,10615.35,10812.7
2019-01-31 09:47:50,Buy,1,2681.0,2681.0,2672.0,2.05,stop loss,-175.0,-177.05,10438.3,10812.7
2019-02-01 09:39:55,Buy,1,2706.5,2702.0,2712.0,2.05,entry_buy,0,-2.05,10436.25,10812.7
2019-02-01 09:50:00,Sell,1,2702.0,2702.0,2712.0,2.05,stop loss,-225.0,-227.05,10209.2,10812.7
2019-02-04 09:37:30,Sell,1,2701.75,2705.0,2696.25,2.05,entry_sell,0,-2.05,10207.15,10812.7
2019-02-04 09:48:05,Buy,1,2705.0,2705.0,2696.25,2.05,stop loss,-162.5,-164.55,10042.6,10812.7
2019-02-05 09:35:35,Buy,1,2730.75,2726.75,2736.25,2.05,entry_buy,0,-2.05,10040.55,10812.7
2019-02-05 10:56:30,Sell,1,2736.25,2726.75,2736.25,2.05,take profit,275.0,272.95,10313.5,10812.7
2019-02-06 09:39:05,Sell,1,2730.5,2736.5,2725.0,2.05,entry_sell,0,-2.05,10311.45,10812.7
2019-02-06 10:14:10,Buy,1,2725.0,2736.5,2725.0,2.05,take profit,275.0,272.95,10584.4,10812.7
2019-02-07 09:35:25,Sell,1,2710.25,2713.5,2704.75,2.05,entry_sell,0,-2.05,10582.35,10812.7
2019-02-07 10:23:20,Buy,1,2713.5,2713.5,2704.75,2.05,stop loss,-162.5,-164.55,10417.8,10812.7
2019-02-08 09:34:05,Buy,1,2694.5,2689.75,2700.0,2.05,entry_buy,0,-2.05,10415.75,10812.7
2019-02-08 09:46:15,Sell,1,2689.75,2689.75,2700.0,2.05,stop loss,-237.5,-239.55,10176.2,10812.7
2019-02-11 09:34:15,Buy,1,2716.25,2712.75,2721.75,2.05,entry_buy,0,-2.05,10174.15,10812.7
2019-02-11 09:40:20,Sell,1,2712.75,2712.75,2721.75,2.05,stop loss,-175.0,-177.05,9997.1,10812.7
2019-02-12 09:34:15,Buy,1,2728.0,2726.0,2733.5,2.05,entry_buy,0,-2.05,9995.05,10812.7
2019-02-12 09:50:30,Sell,1,2733.5,2726.0,2733.5,2.05,take profit,275.0,272.95,10268.0,10812.7
2019-02-13 09:35:30,Buy,1,2756.75,2752.0,2762.25,2.05,entry_buy,0,-2.05,10265.95,10812.7
2019-02-13 11:30:00,Sell,1,2752.0,2752.0,2762.25,2.05,stop loss,-237.5,-239.55,10026.4,10812.7
2019-02-15 09:35:10,Buy,1,2766.75,2763.25,2772.25,2.05,entry_buy,0,-2.05,10024.35,10812.7
2019-02-15 10:40:20,Sell,1,2772.25,2763.25,2772.25,2.05,take profit,275.0,272.95,10297.3,10812.7
2019-02-18 09:35:05,Buy,1,2777.0,2774.25,2782.5,2.05,entry_buy,0,-2.05,10295.25,10812.7
2019-02-18 12:43:10,Sell,1,2774.25,2774.25,2782.5,2.05,stop loss,-137.5,-139.55,10155.7,10812.7
2019-02-19 09:34:00,Buy,1,2770.0,2766.0,2775.5,2.05,entry_buy,0,-2.05,10153.65,10812.7
2019-02-19 10:00:00,Sell,1,2775.5,2766.0,2775.5,2.05,take profit,275.0,272.95,10426.6,10812.7
2019-02-20 09:34:10,Buy,1,2781.25,2779.0,2786.75,2.05,entry_buy,0,-2.05,10424.55,10812.7
2019-02-20 09:34:45,Sell,1,2779.0,2779.0,2786.75,2.05,stop loss,-112.5,-114.55,10310.0,10812.7
2019-02-21 09:35:00,Sell,1,2777.0,2780.5,2771.5,2.05,entry_sell,0,-2.05,10307.95,10812.7
2019-02-21 09:45:00,Buy,1,2771.5,2780.5,2771.5,2.05,take profit,275.0,272.95,10580.9,10812.7
2019-02-22 09:39:55,Sell,1,2780.75,2784.25,2775.25,2.05,entry_sell,0,-2.05,10578.85,10812.7
2019-02-22 09:52:50,Buy,1,2784.25,2784.25,2775.25,2.05,stop loss,-175.0,-177.05,10401.8,10812.7
2019-02-25 09:35:15,Buy,1,2810.0,2807.25,2815.5,2.05,entry_buy,0,-2.05,10399.75,10812.7
2019-02-25 09:55:10,Sell,1,2807.25,2807.25,2815.5,2.05,stop loss,-137.5,-139.55,10260.2,10812.7
2019-02-26 09:37:10,Buy,1,2793.75,2790.0,2799.25,2.05,entry_buy,0,-2.05,10258.15,10812.7
2019-02-26 09:49:25,Sell,1,2790.0,2790.0,2799.25,2.05,stop loss,-187.5,-189.55,10068.6,10812.7
2019-02-27 09:37:10,Buy,1,2789.75,2785.5,2795.25,2.05,entry_buy,0,-2.05,10066.55,10812.7
2019-02-27 10:03:00,Sell,1,2785.5,2785.5,2795.25,2.05,stop loss,-212.5,-214.55,9852.0,10812.7
2019-02-28 09:36:00,Sell,1,2787.0,2790.5,2781.5,2.05,entry_sell,0,-2.05,9849.95,10812.7
2019-02-28 09:42:25,Buy,1,2790.5,2790.5,2781.5,2.05,stop loss,-175.0,-177.05,9672.9,10812.7
2019-03-01 09:40:00,Buy,1,2806.75,2803.5,2812.25,2.05,entry_buy,0,-2.05,9670.85,10812.7
2019-03-01 10:01:45,Sell,1,2803.5,2803.5,2812.25,2.05,stop loss,-162.5,-164.55,9506.3,10812.7
2019-03-04 09:34:30,Sell,1,2815.0,2818.0,2809.5,2.05,entry_sell,0,-2.05,9504.25,10812.7
2019-03-04 10:13:45,Buy,1,2809.5,2818.0,2809.5,2.05,take profit,275.0,272.95,9777.199999999999,10812.7
2019-03-05 09:34:00,Sell,1,2790.75,2795.0,2785.25,2.05,entry_sell,0,-2.05,9775.15,10812.7
2019-03-05 09:51:50,Buy,1,2785.25,2795.0,2785.25,2.05,take profit,275.0,272.95,10048.1,10812.7
2019-03-07 09:34:15,Sell,1,2770.0,2773.0,2764.5,2.05,entry_sell,0,-2.05,10046.05,10812.7
2019-03-07 09:39:15,Buy,1,2764.5,2773.0,2764.5,2.05,take profit,275.0,272.95,10319.0,10812.7
2019-03-08 09:34:30,Sell,1,2729.5,2733.75,2724.0,2.05,entry_sell,0,-2.05,10316.949999999999,10812.7
2019-03-08 09:39:45,Buy,1,2733.75,2733.75,2724.0,2.05,stop loss,-212.5,-214.55,10102.4,10812.7
2019-03-11 09:34:20,Buy,1,2760.5,2755.0,2766.0,2.05,entry_buy,0,-2.05,10100.35,10812.7
2019-03-11 09:56:55,Sell,1,2766.0,2755.0,2766.0,2.05,take profit,275.0,272.95,10373.3,10812.7
2019-03-12 09:34:00,Sell,1,2791.5,2794.25,2786.0,2.05,entry_sell,0,-2.05,10371.25,10812.7
2019-03-12 09:36:00,Buy,1,2794.25,2794.25,2786.0,2.05,stop loss,-137.5,-139.55,10231.699999999999,10812.7
2019-03-13 09:38:10,Buy,1,2808.25,2805.5,2813.75,2.05,entry_buy,0,-2.05,10229.65,10812.7
2019-03-13 10:20:05,Sell,1,2813.75,2805.5,2813.75,2.05,take profit,275.0,272.95,10502.6,10812.7
2019-03-14 09:44:40,Sell,1,2813.0,2816.75,2807.5,2.05,entry_sell,0,-2.05,10500.55,10812.7
2019-03-14 09:50:40,Buy,1,2816.75,2816.75,2807.5,2.05,stop loss,-187.5,-189.55,10311.0,10812.7
2019-03-15 09:35:50,Buy,1,2820.75,2818.5,2826.25,2.05,entry_buy,0,-2.05,10308.949999999999,10812.7
2019-03-15 09:39:05,Sell,1,2818.5,2818.5,2826.25,2.05,stop loss,-112.5,-114.55,10194.4,10812.7
2019-03-18 09:35:25,Buy,1,2833.5,2829.75,2839.0,2.05,entry_buy,0,-2.05,10192.35,10812.7
2019-03-18 10:00:00,Sell,1,2839.0,2829.75,2839.0,2.05,take profit,275.0,272.95,10465.3,10812.7
2019-03-19 09:36:55,Buy,1,2852.25,2849.25,2857.75,2.05,entry_buy,0,-2.05,10463.25,10812.7
2019-03-19 09:41:15,Sell,1,2849.25,2849.25,2857.75,2.05,stop loss,-150.0,-152.05,10311.199999999999,10812.7
2019-03-21 09:34:45,Buy,1,2824.75,2819.75,2830.25,2.05,entry_buy,0,-2.05,10309.15,10812.7
2019-03-21 09:38:30,Sell,1,2830.25,2819.75,2830.25,2.05,take profit,275.0,272.95,10582.099999999999,10812.7
2019-03-25 09:34:05,Buy,1,2803.0,2799.0,2808.5,2.05,entry_buy,0,-2.05,10580.05,10812.7
2019-03-25 09:36:25,Sell,1,2808.5,2799.0,2808.5,2.05,take profit,275.0,272.95,10853.0,10853.0
2019-03-26 09:34:15,Buy,1,2827.25,2822.75,2832.75,2.05,entry_buy,0,-2.05,10850.949999999999,10853.0
2019-03-26 09:45:40,Sell,1,2832.75,2822.75,2832.75,2.05,take profit,275.0,272.95,11123.9,11123.9
2019-03-28 09:34:35,Sell,1,2814.75,2820.5,2809.25,2.05,entry_sell,0,-2.05,11121.85,11123.9
2019-03-28 10:03:30,Buy,1,2820.5,2820.5,2809.25,2.05,stop loss,-287.5,-289.55,10832.3,11123.9
2019-03-29 09:34:00,Sell,1,2833.5,2837.5,2828.0,2.05,entry_sell,0,-2.05,10830.25,11123.9
2019-03-29 09:51:05,Buy,1,2828.0,2837.5,2828.0,2.05,take profit,275.0,272.95,11103.2,11123.9
2019-04-01 09:36:10,Sell,1,2858.0,2860.75,2852.5,2.05,entry_sell,0,-2.05,11101.15,11123.9
2019-04-01 10:00:00,Buy,1,2860.75,2860.75,2852.5,2.05,stop loss,-137.5,-139.55,10961.6,11123.9
2019-04-02 09:34:10,Sell,1,2868.0,2872.25,2862.5,2.05,entry_sell,0,-2.05,10959.55,11123.9
2019-04-02 11:12:10,Buy,1,2862.5,2872.25,2862.5,2.05,take profit,275.0,272.95,11232.5,11232.5
2019-04-03 09:34:00,Sell,1,2879.25,2885.0,2873.75,2.05,entry_sell,0,-2.05,11230.45,11232.5
2019-04-03 10:56:05,Buy,1,2885.0,2885.0,2873.75,2.05,stop loss,-287.5,-289.55,10940.9,11232.5
