date,type,lots,price,S/L,T/P,commission,comment,profit,net profit,accumulated profit,max profit
2019-01-16 09:41:15,Buy,1,6708.25,6685.75,6732.25,2.05,entry_buy,0,-2.05,9997.95,9997.95
2019-01-16 09:46:30,Sell,1,6732.25,6685.75,6732.25,2.05,take profit,480.0,477.95,10475.9,10475.9
2019-01-17 09:36:05,Buy,1,6663.75,6644.25,6687.75,2.05,entry_buy,0,-2.05,10473.85,10475.9
2019-01-17 09:53:20,Sell,1,6687.75,6644.25,6687.75,2.05,take profit,480.0,477.95,10951.8,10951.8
2019-01-18 09:38:05,Sell,1,6764.75,6786.25,6740.75,2.05,entry_sell,0,-2.05,10949.75,10951.8
2019-01-18 09:56:45,Buy,1,6740.75,6786.25,6740.75,2.05,take profit,480.0,477.95,11427.7,11427.7
2019-01-21 09:36:10,Sell,1,6749.75,6769.0,6725.75,2.05,entry_sell,0,-2.05,11425.65,11427.7
2019-01-22 10:06:10,Buy,1,6712.0,6748.75,6712.0,2.05,take profit,755.0,752.95,12178.6,12178.6
2019-01-22 10:06:15,Sell,1,6736.0,6748.75,6712.0,2.05,entry_sell,0,-2.05,12176.55,12178.6
2019-01-22 10:06:15,Buy,1,6712.0,6748.75,6712.0,2.05,take profit,480.0,477.95,12654.5,12654.5
2019-01-23 09:36:00,Buy,1,6711.5,6689.75,6735.5,2.05,entry_buy,0,-2.05,12652.45,12654.5
2019-01-23 10:22:35,Sell,1,6689.75,6689.75,6735.5,2.05,stop loss,-435.0,-437.05,12215.4,12654.5
2019-01-24 09:36:05,Buy,1,6696.75,6674.5,6720.75,2.05,entry_buy,0,-2.05,12213.349999999999,12654.5
2019-01-24 09:41:40,Sell,1,6674.5,6674.5,6720.75,2.05,stop loss,-445.0,-447.05,11766.3,12654.5
2019-01-25 09:53:05,Buy,1,6764.0,6739.0,6788.0,2.05,entry_buy,0,-2.05,11764.25,12654.5
2019-01-25 10:44:50,Sell,1,6788.0,6739.0,6788.0,2.05,take profit,480.0,477.95,12242.199999999999,12654.5
2019-01-29 09:36:00,Sell,1,6695.75,6709.75,6671.75,2.05,entry_sell,0,-2.05,12240.15,12654.5
2019-01-29 10:15:05,Buy,1,6671.75,6709.75,6671.75,2.05,take profit,480.0,477.95,12718.099999999999,12718.099999999999
2019-01-30 09:36:00,Buy,1,6729.5,6711.0,6753.5,2.05,entry_buy,0,-2.05,12716.05,12718.099999999999
2019-01-30 09:59:25,Sell,1,6711.0,6711.0,6753.5,2.05,stop loss,-370.0,-372.05,12343.999999999998,12718.099999999999
2019-01-31 09:36:40,Sell,1,6841.0,6858.5,6817.0,2.05,entry_sell,0,-2.05,12341.949999999999,12718.099999999999
2019-01-31 09:45:10,Buy,1,6858.5,6858.5,6817.0,2.05,stop loss,-350.0,-352.05,11989.899999999998,12718.099999999999
2019-02-01 09:36:00,Buy,1,6895.0,6871.25,6919.0,2.05,entry_buy,0,-2.05,11987.849999999999,12718.099999999999
