date,id,type,lots,price,S/L,T/P,commission,comment,profit,net profit,accumulated profit,max profit
2020-01-30 12:40:45,122,SELL,1,3244.5,3249.0,3243.25,2.05,,0.0,-2.05,-2.05,-2.05
2020-01-30 12:51:55,124,BUY,1,3249.0,0.0,0.0,2.05,,-225.0,-227.05,-229.10000000000002,-2.05
2020-01-30 12:54:07,133,SELL,1,3248.0,3249.5,3246.5,2.05,,0.0,-2.05,-231.15000000000003,-2.05
2020-01-30 12:54:57,134,BUY,1,3246.5,0.0,0.0,2.05,,75.0,72.95,-158.20000000000005,-2.05
2020-01-30 13:46:19,141,BUY,1,3252.25,3250.75,3253.75,2.05,,0.0,-2.05,-160.25000000000006,-2.05
2020-01-30 13:49:24,143,SELL,1,3250.75,0.0,0.0,2.05,,-75.0,-77.05,-237.30000000000007,-2.05
2020-01-30 14:07:14,152,BUY,1,3252.5,3250.75,3254.0,2.05,,0.0,-2.05,-239.35000000000008,-2.05
2020-01-30 14:09:24,153,SELL,1,3254.0,0.0,0.0,2.05,,75.0,72.95,-166.4000000000001,-2.05
2020-01-30 14:55:02,163,BUY,1,3260.0,3257.5,3261.5,2.05,,0.0,-2.05,-168.4500000000001,-2.05
2020-01-30 14:55:20,164,SELL,1,3261.5,0.0,0.0,2.05,,75.0,72.95,-95.5000000000001,-2.05
2020-01-30 15:01:19,174,BUY,1,3267.75,3263.0,3269.0,2.05,,0.0,-2.05,-97.5500000000001,-2.05
2020-01-30 15:04:04,175,SELL,1,3269.0,0.0,0.0,2.05,,62.5,60.45,-37.100000000000094,-2.05
2020-01-30 15:17:34,196,BUY,1,3266.25,3263.5,3267.5,2.05,,0.0,-2.05,-39.15000000000009,-2.05
2020-01-30 15:18:35,197,SELL,1,3267.5,0.0,0.0,2.05,,62.5,60.45,21.299999999999912,21.299999999999912
