combination,minutes,target,net profit,max drawdown,profit/dd,total trades,percent profitable,max con loss,sharpe ratio
1,1.0,0.1,-1908.12,3398.749999999687,-0.56,238.0,45.8,6.0,-0.51
2,1.0,0.15,-3028.12,4796.949999999804,-0.63,238.0,34.87,15.0,-1.03
3,1.0,0.2,-3499.56,4327.059999999818,-0.81,194.0,27.32,22.0,-1.37
4,1.0,0.25,-3509.56,4807.059999999842,-0.73,194.0,23.2,22.0,-1.25
5,1.0,0.3,-3548.46,4581.059999999763,-0.77,179.0,20.11,22.0,-1.24
6,1.0,0.35,-3533.2,4815.799999999632,-0.73,180.0,17.78,22.0,-1.15
7,1.0,0.4,-3488.52,5021.119999999655,-0.69,198.0,16.16,22.0,-0.98
8,1.0,0.45,-3491.64,5274.239999999581,-0.66,186.0,14.52,23.0,-0.98
9,1.0,0.5,361.8800000000001,4796.609999999641,0.08,238.0,16.81,23.0,0.43
10,2.0,0.1,-54.42000000000007,2304.689999999884,-0.02,233.0,57.94,7.0,0.59
11,2.0,0.15,485.5799999999999,3923.069999999938,0.12,233.0,48.07,7.0,0.73
12,2.0,0.2,235.57999999999993,3650.4699999998447,0.06,233.0,40.34,7.0,0.54
13,2.0,0.25,-3594.7,4362.039999999779,-0.82,155.0,29.68,20.0,-1.28
14,2.0,0.3,-3497.3,4530.419999999877,-0.77,145.0,25.52,13.0,-1.22
15,2.0,0.35,-3616.7799999999997,4949.899999999759,-0.73,147.0,23.13,13.0,-1.15
16,2.0,0.4,-3511.0,5144.119999999788,-0.68,150.0,21.33,15.0,-1.02
17,2.0,0.45,-3536.26,5469.3799999997,-0.65,149.0,19.46,18.0,-0.98
18,2.0,0.5,-3614.7,5847.819999999749,-0.62,155.0,18.06,20.0,-0.94
19,3.0,0.1,726.0999999999999,2528.5699999998196,0.29,235.0,61.7,4.0,0.99
20,3.0,0.15,1586.1,3404.569999999947,0.47,235.0,52.34,9.0,1.18
21,3.0,0.2,-303.9000000000001,4104.869999999726,-0.07,235.0,42.55,12.0,0.3
22,3.0,0.25,-3658.34,4620.939999999849,-0.79,141.0,31.91,13.0,-1.32
23,3.0,0.3,-3483.08,4761.459999999934,-0.73,142.0,28.87,13.0,-1.13
24,3.0,0.35,-3642.56,5270.9399999998,-0.69,144.0,26.39,13.0,-1.08
25,3.0,0.4,-3496.7799999999997,5475.159999999857,-0.64,147.0,24.49,14.0,-0.95
26,3.0,0.45,-3586.7799999999997,5915.159999999755,-0.61,147.0,22.45,16.0,-0.93
27,3.0,0.5,-3601.0,5259.379999999819,-0.68,150.0,21.33,17.0,-0.86
28,4.0,0.1,1490.84,2297.169999999953,0.65,234.0,64.96,4.0,1.35
29,4.0,0.15,1530.84,3562.0299999999643,0.43,234.0,54.27,6.0,1.11
