combination,minutes,target,net profit,max drawdown,profit/dd,total trades,percent profitable,max con loss,sharpe ratio
1,1.0,0.5,-887.5,1138.8500000000004,-0.78,250.0,82.8,2.0,0.16
2,1.0,1.0,-975.0,1256.7500000000018,-0.78,250.0,70.8,4.0,0.04
3,1.0,1.5,-912.5,1697.9500000000007,-0.54,250.0,62.8,5.0,0.07
4,1.0,2.0,-1350.0,2135.449999999997,-0.63,250.0,56.0,5.0,-0.17
5,1.0,2.5,-1662.5,2433.9499999999935,-0.68,250.0,50.4,6.0,-0.3
6,1.0,3.0,100.0,1882.75,0.05,250.0,48.4,6.0,0.49
7,1.0,3.5,1712.5,1534.449999999999,1.12,250.0,46.8,6.0,1.09
8,1.0,4.0,2262.5,1459.4500000000007,1.55,250.0,44.0,7.0,1.23
9,1.0,4.5,2425.0,1521.3499999999967,1.59,250.0,41.2,8.0,1.21
10,1.0,5.0,4187.5,1388.5500000000047,3.02,250.0,40.4,8.0,1.72
11,1.0,5.5,3662.5,1646.9500000000007,2.22,250.0,37.6,8.0,1.46
12,1.0,6.0,3987.5,1596.949999999999,2.5,250.0,36.0,8.0,1.5
13,2.0,0.5,-1150.2,1587.449999999997,-0.72,247.0,85.43,3.0,-0.13
14,2.0,1.0,-662.7,1924.0499999999993,-0.34,247.0,75.71,3.0,0.25
15,2.0,1.5,-1100.2,2354.0499999999847,-0.47,247.0,67.21,3.0,-0.05
16,2.0,2.0,-1787.7,3283.949999999988,-0.54,247.0,60.32,5.0,-0.37
17,2.0,2.5,-1775.2,2539.4999999999854,-0.7,247.0,55.47,6.0,-0.33
18,2.0,3.0,-875.2,2165.649999999996,-0.4,247.0,52.63,6.0,0.05
19,2.0,3.5,-25.200000000000045,2134.8999999999987,-0.01,247.0,50.2,6.0,0.36
20,2.0,4.0,1762.3,1809.8999999999978,0.97,247.0,48.99,6.0,0.93
21,2.0,4.5,3662.3,1484.8999999999978,2.47,247.0,47.77,6.0,1.48
22,2.0,5.0,3012.3,1690.199999999999,1.78,247.0,44.53,6.0,1.2
23,2.0,5.5,3262.3,1565.199999999999,2.08,247.0,42.51,6.0,1.21
24,2.0,6.0,4287.3,1462.550000000003,2.93,247.0,41.3,6.0,1.43
25,3.0,0.5,-1029.3,1601.0499999999956,-0.64,248.0,88.31,2.0,-0.01
26,3.0,1.0,70.70000000000005,1088.4500000000007,0.06,248.0,80.65,2.0,0.71
27,3.0,1.5,-529.3,1733.2499999999982,-0.31,248.0,72.18,4.0,0.25
28,3.0,2.0,183.20000000000005,2172.3999999999987,0.08,248.0,67.34,4.0,0.54
29,3.0,2.5,-2341.8,3213.0000000000073,-0.73,248.0,60.08,6.0,-0.5
30,3.0,3.0,-841.8,2660.300000000004,-0.32,248.0,57.66,6.0,0.06
31,3.0,3.5,58.200000000000045,3435.7499999999955,0.02,248.0,55.24,7.0,0.35
32,3.0,4.0,1533.2,3160.749999999998,0.49,248.0,53.63,7.0,0.77
33,3.0,4.5,1520.7,2607.449999999997,0.58,248.0,50.81,7.0,0.71
34,3.0,5.0,1283.2,2386.099999999993,0.54,248.0,47.98,7.0,0.61
