combination,minutes,target,net profit,max drawdown,profit/dd,total trades,percent profitable,max con loss,sharpe ratio
1,1.0,2.0,1026.8,981.5999999998203,1.05,252.0,58.73,3.0,1.14
2,1.0,4.0,3331.8,1567.3999999997886,2.13,252.0,43.25,6.0,1.66
3,1.0,6.0,3916.8,1391.9999999999454,2.81,252.0,34.52,8.0,1.52
4,1.0,8.0,8171.8,1531.7499999999527,5.33,252.0,31.75,9.0,2.39
5,1.0,10.0,9281.8,1537.7499999999127,6.04,252.0,28.17,10.0,2.38
6,1.0,12.0,9696.8,1393.1499999999214,6.96,252.0,25.79,11.0,2.26
7,1.0,14.0,7061.8,2614.7499999998454,2.7,252.0,23.81,11.0,1.67
8,1.0,16.0,4251.8,2564.749999999849,1.66,252.0,23.02,11.0,1.1
9,2.0,2.0,1684.1,1369.149999999905,1.23,249.0,64.26,5.0,1.39
10,2.0,4.0,3609.1,2777.549999999883,1.3,249.0,49.0,6.0,1.6
11,2.0,6.0,6384.1,2509.049999999943,2.54,249.0,40.96,8.0,2.07
12,2.0,8.0,9938.2,2749.0499999999356,3.62,248.0,36.69,9.0,2.62
13,2.0,10.0,10993.2,2749.049999999934,4.0,248.0,33.06,11.0,2.55
14,2.0,12.0,13963.2,2649.049999999932,5.27,248.0,31.85,11.0,2.86
15,2.0,14.0,10322.3,2549.049999999932,4.05,247.0,29.55,11.0,2.13
16,2.0,16.0,9227.3,3323.949999999755,2.78,247.0,29.15,11.0,1.88
17,3.0,2.0,625.5,1832.6999999997224,0.34,245.0,66.53,4.0,0.76
18,3.0,4.0,2370.5,2429.4499999996688,0.98,245.0,51.02,5.0,1.1
19,3.0,6.0,8540.5,2242.6499999999323,3.81,245.0,46.12,8.0,2.51
20,3.0,8.0,10359.6,3126.74999999992,3.31,244.0,40.57,8.0,2.57
21,3.0,10.0,9449.6,3131.5499999998246,3.02,244.0,36.07,13.0,2.12
22,3.0,12.0,11234.6,3921.5499999998137,2.86,244.0,34.02,15.0,2.27
23,3.0,14.0,10773.7,3421.549999999799,3.15,243.0,32.51,15.0,2.12
24,3.0,16.0,9942.8,3706.549999999803,2.68,242.0,31.82,15.0,1.92
25,4.0,2.0,1262.3,1746.549999999932,0.72,247.0,68.83,5.0,1.03
26,4.0,4.0,3057.3,2035.199999999958,1.5,247.0,53.44,6.0,1.29
27,4.0,6.0,8347.3,2973.6499999998996,2.81,247.0,47.37,8.0,2.37
28,4.0,8.0,7751.4,3257.6499999999105,2.38,246.0,41.06,8.0,1.93
29,4.0,10.0,9796.4,3460.6499999998123,2.83,246.0,38.62,8.0,2.13
30,4.0,12.0,8550.5,5010.649999999805,1.71,245.0,35.51,10.0,1.78
31,4.0,14.0,10060.5,4510.64999999979,2.23,245.0,35.1,10.0,1.96
32,4.0,16.0,8589.6,4855.6499999998,1.77,244.0,33.61,10.0,1.64
33,5.0,2.0,1100.0,1531.5499999999138,0.72,250.0,69.2,5.0,0.94
34,5.0,4.0,3295.0,2220.199999999939,1.48,250.0,54.8,8.0,1.32
35,5.0,6.0,7174.1,2893.6499999999087,2.48,249.0,48.19,8.0,2.05
36,5.0,8.0,8099.1,3645.649999999823,2.22,249.0,42.97,8.0,1.96
37,5.0,10.0,8309.1,4160.649999999818,2.0,249.0,39.36,9.0,1.8
38,5.0,12.0,8423.2,5015.649999999787,1.68,248.0,36.69,10.0,1.71
39,5.0,14.0,8208.2,4415.649999999794,1.86,248.0,35.08,10.0,1.59
40,5.0,16.0,6742.3,4695.649999999805,1.44,247.0,34.01,10.0,1.31
41,6.0,2.0,118.20000000000005,2820.0499999997355,0.04,248.0,69.76,4.0,0.48
