combination,minutes,target,net profit,max drawdown,profit/dd,total trades,percent profitable,max con loss,sharpe ratio
1,1.0,4.0,-650.0,2402.1499999999996,-0.27,250.0,72.0,5.0,0.18
2,1.0,8.0,-985.0,2170.5499999999956,-0.45,250.0,55.6,5.0,0.01
3,1.0,12.0,-140.0,3126.050000000001,-0.04,250.0,46.8,6.0,0.24
4,1.0,16.0,4290.0,2015.1999999999916,2.13,250.0,43.2,6.0,1.25
5,1.0,20.0,4335.0,3870.7500000000073,1.12,250.0,37.6,7.0,1.12
6,1.0,24.0,3125.0,3490.9499999999953,0.9,250.0,33.2,7.0,0.79
7,2.0,4.0,-2282.7,2867.650000000007,-0.8,247.0,74.09,4.0,-0.53
8,2.0,8.0,-4197.7,4587.200000000032,-0.92,247.0,59.51,5.0,-0.91
9,2.0,12.0,1542.3,3201.650000000005,0.48,247.0,55.06,6.0,0.61
10,2.0,16.0,1262.3,4802.749999999998,0.26,247.0,47.77,6.0,0.47
11,2.0,20.0,3992.3,5737.749999999998,0.7,247.0,43.32,7.0,0.92
12,2.0,24.0,5427.3,4662.749999999998,1.16,247.0,39.68,7.0,1.07
13,3.0,4.0,-92.70000000000005,2570.849999999995,-0.04,247.0,79.76,3.0,0.36
14,3.0,8.0,1222.3,6061.150000000014,0.2,247.0,68.42,4.0,0.6
15,3.0,12.0,2077.3,5706.150000000023,0.36,247.0,59.51,6.0,0.67
16,3.0,16.0,1467.3,5641.350000000013,0.26,247.0,51.42,6.0,0.47
17,3.0,20.0,5507.3,5398.050000000023,1.02,247.0,48.18,6.0,1.1
18,3.0,24.0,6752.3,5178.050000000008,1.3,247.0,44.13,7.0,1.2
19,4.0,4.0,1137.3,2354.7499999999927,0.48,247.0,81.78,4.0,0.84
20,4.0,8.0,4612.3,2815.850000000006,1.64,247.0,72.06,4.0,1.53
21,4.0,12.0,1347.3,3809.8499999999985,0.35,247.0,60.32,6.0,0.5
22,4.0,16.0,3812.3,4832.250000000007,0.79,247.0,54.66,6.0,0.88
23,4.0,20.0,5777.3,5202.250000000004,1.11,247.0,50.2,6.0,1.11
24,4.0,24.0,7612.3,5955.550000000007,1.28,247.0,46.56,6.0,1.29
25,5.0,4.0,1110.0,1827.6499999999942,0.61,250.0,83.6,4.0,0.77
26,5.0,8.0,2310.0,3360.2500000000346,0.69,250.0,72.0,4.0,0.84
27,5.0,12.0,975.0,5496.950000000004,0.18,250.0,61.6,6.0,0.4
28,5.0,16.0,-75.0,8018.050000000001,-0.01,250.0,54.4,6.0,0.17
29,5.0,20.0,1140.0,7603.050000000003,0.15,250.0,49.6,6.0,0.34
30,5.0,24.0,6570.0,7834.850000000011,0.84,250.0,48.0,6.0,1.09
31,6.0,4.0,1324.1,2522.649999999998,0.52,249.0,84.34,4.0,0.84
32,6.0,8.0,-3055.9,9576.950000000012,-0.32,249.0,70.28,5.0,-0.47
33,6.0,12.0,-1960.9,10666.950000000015,-0.18,249.0,62.25,6.0,-0.18
34,6.0,16.0,-3765.9,10101.950000000026,-0.37,249.0,54.62,6.0,-0.46
35,6.0,20.0,-1020.9,11261.950000000008,-0.09,249.0,51.0,6.0,0.0
36,6.0,24.0,5724.1,10604.849999999995,0.54,249.0,49.8,6.0,0.94
37,10.0,4.0,-5580.1,6074.500000000018,-0.92,211.0,81.52,3.0,-1.41
38,10.0,8.0,-5749.1,6847.500000000016,-0.84,151.0,70.86,4.0,-1.3
39,10.0,12.0,-5917.0,6715.30000000001,-0.88,170.0,63.53,6.0,-1.07
40,10.0,16.0,-5566.8,8066.000000000008,-0.69,198.0,58.08,6.0,-0.81
41,10.0,20.0,-3341.8,9743.35000000002,-0.34,248.0,53.63,7.0,-0.33
42,10.0,24.0,-2146.8,9223.350000000031,-0.23,248.0,50.4,7.0,-0.15
43,15.0,4.0,2307.3,2964.050000000043,0.78,247.0,87.45,2.0,1.11
44,15.0,8.0,-432.70000000000005,7363.150000000014,-0.06,247.0,75.71,4.0,0.13
45,15.0,12.0,3492.3,6714.750000000015,0.52,247.0,70.04,4.0,0.81
46,15.0,16.0,8202.3,5869.049999999992,1.4,247.0,65.99,5.0,1.45
47,15.0,20.0,8447.3,5384.04999999999,1.57,247.0,61.13,5.0,1.31
48,15.0,24.0,5602.3,6003.650000000005,0.93,247.0,55.87,5.0,0.84
49,30.0,4.0,-182.20000000000005,3508.549999999992,-0.05,242.0,87.6,2.0,0.23
50,30.0,8.0,5267.8,2823.1499999999987,1.87,242.0,81.4,4.0,1.33
51,30.0,12.0,6932.8,4845.25,1.43,242.0,74.79,4.0,1.36
52,30.0,16.0,5452.8,5955.250000000001,0.92,242.0,68.18,4.0,0.96
53,30.0,20.0,4802.8,7267.250000000001,0.66,242.0,62.81,5.0,0.77
54,30.0,24.0,5196.9,6358.150000000003,0.82,241.0,59.75,5.0,0.76
