date,type,lots,price,S/L,T/P,commission,comment,profit,net profit,accumulated profit,max profit
2019-01-31 10:00:23,Buy,1,2684.25,2676.5,2690.25,2.05,entry_buy,0,-2.05,9997.95,9997.95
2019-01-31 10:17:51,Sell,1,2690.25,2676.5,2690.25,2.05,take profit,300.0,297.95,10295.9,10295.9
2019-02-01 10:04:43,Buy,1,2709.0,2699.0,2715.0,2.05,entry_buy,0,-2.05,10293.85,10295.9
2019-02-01 10:23:21,Sell,1,2715.0,2699.0,2715.0,2.05,take profit,300.0,297.95,10591.8,10591.8
2019-02-04 10:01:05,Sell,1,2699.25,2706.75,2693.25,2.05,entry_sell,0,-2.05,10589.75,10591.8
2019-02-04 11:00:58,Buy,1,2706.75,2706.75,2693.25,2.05,stop loss,-375.0,-377.05,10212.7,10591.8
2019-02-05 10:00:29,Buy,1,2732.5,2726.75,2738.5,2.05,entry_buy,0,-2.05,10210.65,10591.8
2019-02-05 12:23:14,Sell,1,2726.75,2726.75,2738.5,2.05,stop loss,-287.5,-289.55,9921.1,10591.8
2019-02-06 10:00:18,Sell,1,2729.25,2736.5,2723.25,2.05,entry_sell,0,-2.05,9919.05,10591.8
2019-02-06 10:15:33,Buy,1,2723.25,2736.5,2723.25,2.05,take profit,300.0,297.95,10217.0,10591.8
2019-02-07 10:03:12,Sell,1,2706.0,2713.5,2700.0,2.05,entry_sell,0,-2.05,10214.95,10591.8
2019-02-07 10:23:20,Buy,1,2713.5,2713.5,2700.0,2.05,stop loss,-375.0,-377.05,9837.9,10591.8
2019-02-08 10:00:04,Sell,1,2687.25,2697.0,2681.25,2.05,entry_sell,0,-2.05,9835.85,10591.8
2019-02-08 11:47:45,Buy,1,2681.25,2697.0,2681.25,2.05,take profit,300.0,297.95,10133.8,10591.8
2019-02-11 10:23:49,Sell,1,2708.0,2717.5,2702.0,2.05,entry_sell,0,-2.05,10131.75,10591.8
2019-02-11 15:45:00,Buy,1,2706.0,2717.5,2702.0,2.05,time exit,100.0,97.95,10229.7,10591.8
2019-02-12 10:01:21,Buy,1,2734.25,2726.0,2740.25,2.05,entry_buy,0,-2.05,10227.65,10591.8
2019-02-12 11:01:12,Sell,1,2740.25,2726.0,2740.25,2.05,take profit,300.0,297.95,10525.6,10591.8
2019-02-13 11:30:04,Sell,1,2751.75,2762.0,2745.75,2.05,entry_sell,0,-2.05,10523.55,10591.8
2019-02-13 15:45:00,Buy,1,2756.5,2762.0,2745.75,2.05,time exit,-237.5,-239.55,10284.0,10591.8
2019-02-14 10:01:53,Buy,1,2740.25,2730.25,2746.25,2.05,entry_buy,0,-2.05,10281.95,10591.8
2019-02-14 10:32:12,Sell,1,2746.25,2730.25,2746.25,2.05,take profit,300.0,297.95,10579.9,10591.8
2019-02-15 10:26:50,Buy,1,2771.5,2763.25,2777.5,2.05,entry_buy,0,-2.05,10577.85,10591.8
2019-02-15 11:21:19,Sell,1,2763.25,2763.25,2777.5,2.05,stop loss,-412.5,-414.55,10163.3,10591.8
2019-02-18 10:08:08,Buy,1,2778.25,2774.25,2784.25,2.05,entry_buy,0,-2.05,10161.25,10591.8
2019-02-18 12:43:11,Sell,1,2774.25,2774.25,2784.25,2.05,stop loss,-200.0,-202.05,9959.2,10591.8
2019-02-19 10:00:00,Buy,1,2775.5,2766.0,2781.5,2.05,entry_buy,0,-2.05,9957.15,10591.8
2019-02-19 11:47:06,Sell,1,2781.5,2766.0,2781.5,2.05,take profit,300.0,297.95,10255.1,10591.8
2019-02-20 10:17:20,Buy,1,2782.5,2777.75,2788.5,2.05,entry_buy,0,-2.05,10253.05,10591.8
2019-02-20 12:28:08,Sell,1,2777.75,2777.75,2788.5,2.05,stop loss,-237.5,-239.55,10013.5,10591.8
