combination,minutes,target,net profit,max drawdown,profit/dd,total trades,percent profitable,max con loss,sharpe ratio
1,1.0,0.1,-1338.12,2868.7499999998017,-0.47,238.0,44.54,6.0,-0.15
2,1.0,0.15,-2648.12,4416.949999999832,-0.6,238.0,34.87,15.0,-0.84
3,1.0,0.2,-3464.3,4291.799999999832,-0.81,195.0,27.18,22.0,-1.36
4,1.0,0.25,-3489.56,4787.059999999847,-0.73,194.0,23.2,22.0,-1.24
5,1.0,0.3,-3548.46,4581.059999999763,-0.77,179.0,20.11,22.0,-1.24
6,1.0,0.35,-3533.2,4815.799999999632,-0.73,180.0,17.78,22.0,-1.15
7,1.0,0.4,-3488.52,5021.119999999655,-0.69,198.0,16.16,22.0,-0.98
8,1.0,0.45,-3491.64,5274.239999999581,-0.66,186.0,14.52,23.0,-0.98
9,1.0,0.5,361.8800000000001,4796.609999999641,0.08,238.0,16.81,23.0,0.43
10,2.0,0.1,-534.4200000000001,2317.8699999999735,-0.23,233.0,50.21,7.0,0.38
11,2.0,0.15,-24.420000000000073,3375.2099999999346,-0.01,233.0,45.92,9.0,0.52
12,2.0,0.2,135.57999999999993,3391.509999999871,0.04,233.0,39.91,7.0,0.5
13,2.0,0.25,-3554.7,4322.039999999781,-0.82,155.0,29.68,20.0,-1.27
14,2.0,0.3,-3497.3,4530.419999999877,-0.77,145.0,25.52,13.0,-1.22
15,2.0,0.35,-3556.7799999999997,4889.899999999764,-0.73,147.0,23.13,13.0,-1.13
16,2.0,0.4,-3511.0,5144.119999999788,-0.68,150.0,21.33,15.0,-1.02
17,2.0,0.45,-3536.26,5469.3799999997,-0.65,149.0,19.46,18.0,-0.98
18,2.0,0.5,-3614.7,5847.819999999749,-0.62,155.0,18.06,20.0,-0.94
19,3.0,0.1,106.09999999999991,1977.469999999983,0.05,235.0,51.91,5.0,0.8
20,3.0,0.15,596.0999999999999,2604.569999999957,0.23,235.0,48.51,12.0,0.8
21,3.0,0.2,-463.9000000000001,3620.2499999997035,-0.13,235.0,41.7,12.0,0.25
22,3.0,0.25,-3508.34,4470.93999999985,-0.78,141.0,31.91,13.0,-1.26
23,3.0,0.3,-3463.08,4741.45999999993,-0.73,142.0,28.87,13.0,-1.12
24,3.0,0.35,-3582.56,5210.939999999806,-0.69,144.0,26.39,13.0,-1.06
25,3.0,0.4,-3496.7799999999997,5475.159999999857,-0.64,147.0,24.49,14.0,-0.95
26,3.0,0.45,-3586.7799999999997,5915.159999999755,-0.61,147.0,22.45,16.0,-0.93
27,3.0,0.5,-3581.0,5259.379999999819,-0.68,150.0,21.33,17.0,-0.85
28,4.0,0.1,450.8399999999999,1855.9100000000162,0.24,234.0,52.99,10.0,1.03
29,4.0,0.15,-19.160000000000082,3031.689999999927,-0.01,234.0,48.72,11.0,0.5
30,4.0,0.2,-1569.16,3149.789999999707,-0.5,234.0,42.31,11.0,-0.17
31,4.0,0.25,-3552.04,4470.939999999874,-0.79,146.0,34.25,11.0,-1.19
32,4.0,0.3,-3609.96,5079.83999999995,-0.71,154.0,31.82,14.0,-1.05
33,4.0,0.35,-3469.96,5739.839999999836,-0.6,154.0,29.22,11.0,-0.92
