combination,minutes,target,net profit,max drawdown,profit/dd,total trades,percent profitable,max con loss,sharpe ratio
1,1.0,0.5,-4775.0,4795.9000000000515,-1.0,250.0,20.0,16.0,-11.83
2,1.0,1.0,-3725.0,3940.1500000000415,-0.95,250.0,39.2,7.0,-3.49
3,1.0,1.5,-1637.5,2111.249999999982,-0.78,250.0,48.8,6.0,-0.51
4,1.0,2.0,-1675.0,2318.6999999999925,-0.72,250.0,48.4,6.0,-0.41
5,1.0,2.5,-2437.5,2904.699999999987,-0.84,250.0,45.6,7.0,-0.74
6,1.0,3.0,-2550.0,3104.6999999999944,-0.82,250.0,43.2,9.0,-0.7
7,1.0,3.5,-450.0,1914.999999999999,-0.23,250.0,43.2,10.0,0.24
8,1.0,4.0,662.5,1877.499999999999,0.35,250.0,41.6,10.0,0.65
9,1.0,4.5,1275.0,2192.2999999999975,0.58,250.0,39.6,10.0,0.82
10,1.0,5.0,2350.0,2755.4000000000015,0.85,250.0,38.4,11.0,1.13
11,1.0,5.5,1662.5,2530.3999999999996,0.66,250.0,35.6,11.0,0.85
12,1.0,6.0,1812.5,2305.3999999999987,0.79,250.0,34.0,11.0,0.86
13,2.0,0.5,-4825.0,4822.950000000048,-1.0,250.0,19.6,18.0,-12.08
14,2.0,1.0,-2325.0,2694.249999999989,-0.86,250.0,44.8,10.0,-1.65
15,2.0,1.5,-3000.0,3427.450000000006,-0.88,250.0,44.8,7.0,-1.67
16,2.0,2.0,-2937.5,3417.0000000000036,-0.86,250.0,46.4,8.0,-1.2
17,2.0,2.5,-3037.5,3642.0000000000555,-0.83,250.0,46.4,7.0,-1.02
18,2.0,3.0,-2475.0,3390.9500000000344,-0.73,250.0,46.4,6.0,-0.63
19,2.0,3.5,-1837.5,2965.9500000000226,-0.62,250.0,45.6,6.0,-0.31
20,2.0,4.0,-700.0,2298.8499999999976,-0.3,250.0,44.8,6.0,0.11
21,2.0,4.5,2175.0,2137.5499999999984,1.02,250.0,45.2,6.0,1.04
22,2.0,5.0,2525.0,2400.0499999999993,1.05,250.0,43.2,6.0,1.08
23,2.0,5.5,1762.5,2554.1499999999996,0.69,250.0,40.8,6.0,0.8
24,2.0,6.0,2437.5,2429.1499999999996,1.0,250.0,39.6,6.0,0.95
25,3.0,0.5,-5025.0,5022.950000000053,-1.0,250.0,18.0,18.0,-13.14
26,3.0,1.0,-3825.0,4186.05000000002,-0.91,250.0,38.8,9.0,-3.63
27,3.0,1.5,-3587.5,3864.950000000026,-0.93,250.0,43.2,7.0,-2.18
28,3.0,2.0,-2475.0,2754.499999999991,-0.9,250.0,47.2,7.0,-0.91
29,3.0,2.5,-3412.5,3767.0000000000255,-0.91,250.0,46.0,9.0,-1.21
30,3.0,3.0,-1450.0,2919.8000000000093,-0.5,250.0,48.8,6.0,-0.18
31,3.0,3.5,-1600.0,3182.3000000000047,-0.5,250.0,47.6,7.0,-0.21
32,3.0,4.0,1125.0,2989.8499999999985,0.38,250.0,49.2,7.0,0.72
33,3.0,4.5,1775.0,2417.3,0.73,250.0,48.0,7.0,0.86
34,3.0,5.0,1475.0,2574.4000000000024,0.57,250.0,46.0,7.0,0.71
35,3.0,5.5,2150.0,2464.8499999999976,0.87,250.0,44.8,7.0,0.85
36,3.0,6.0,1537.5,2602.3499999999985,0.59,250.0,42.8,8.0,0.65
37,4.0,0.5,-4925.0,4922.950000000051,-1.0,250.0,18.8,45.0,-12.6
38,4.0,1.0,-3725.0,4140.150000000035,-0.9,250.0,39.2,8.0,-3.49
39,4.0,1.5,-3887.5,4434.550000000034,-0.88,250.0,42.4,9.0,-2.44
40,4.0,2.0,-2437.5,3144.8000000000075,-0.78,250.0,47.2,10.0,-0.89
41,4.0,2.5,-3712.5,4669.800000000017,-0.8,250.0,45.6,10.0,-1.36
42,4.0,3.0,-1337.5,3082.300000000022,-0.43,250.0,49.2,6.0,-0.13
43,4.0,3.5,-800.0,2982.3000000000084,-0.27,250.0,49.2,7.0,0.08
44,4.0,4.0,1900.0,2511.5499999999993,0.76,250.0,50.8,7.0,0.96
45,4.0,4.5,3387.5,2158.0499999999993,1.57,250.0,50.4,7.0,1.33
46,4.0,5.0,2350.0,2421.4499999999953,0.97,250.0,47.6,7.0,0.94
47,4.0,5.5,3850.0,2032.8499999999985,1.89,250.0,47.2,7.0,1.28
48,4.0,6.0,2725.0,3132.8499999999985,0.87,250.0,44.8,8.0,0.93
49,5.0,0.5,-4575.0,4572.950000000047,-1.0,250.0,21.6,21.0,-10.89
50,5.0,1.0,-2125.0,2304.04999999999,-0.92,250.0,45.6,6.0,-1.39
51,5.0,1.5,-3412.5,3696.100000000034,-0.92,250.0,43.6,12.0,-2.03
52,5.0,2.0,-2375.0,3020.150000000016,-0.79,250.0,47.2,8.0,-0.85
53,5.0,2.5,-3862.5,4346.1000000000295,-0.89,250.0,45.6,8.0,-1.43
54,5.0,3.0,-3337.5,4052.650000000036,-0.82,250.0,46.8,6.0,-0.98
55,5.0,3.5,-3437.5,4277.650000000022,-0.8,250.0,46.4,7.0,-0.88
56,5.0,4.0,-1187.5,4201.950000000003,-0.28,250.0,48.0,7.0,-0.05
57,5.0,4.5,2725.0,2027.3499999999985,1.34,250.0,50.4,7.0,1.11
58,5.0,5.0,1437.5,3133.949999999996,0.46,250.0,47.6,8.0,0.67
59,5.0,5.5,2787.5,2939.2499999999964,0.95,250.0,47.2,8.0,0.97
60,5.0,6.0,987.5,4170.049999999999,0.24,250.0,44.4,8.0,0.49
61,6.0,0.5,-3975.0,3972.950000000039,-1.0,250.0,26.4,16.0,-8.45
62,6.0,1.0,-1825.0,2061.449999999989,-0.89,250.0,46.8,8.0,-1.01
