combination,minutes,target,net profit,max drawdown,profit/dd,total trades,percent profitable,max con loss,sharpe ratio
1,1.0,4.0,1215.0,840.9500000000007,1.44,250.0,55.6,8.0,1.78
2,1.0,8.0,2050.0,1396.75,1.47,250.0,52.4,5.0,1.25
3,1.0,12.0,1090.0,2491.0499999999984,0.44,250.0,46.0,6.0,0.62
4,1.0,16.0,4460.0,1856.349999999995,2.4,250.0,42.8,6.0,1.32
5,1.0,20.0,4120.0,3655.7500000000055,1.13,250.0,37.2,7.0,1.09
6,1.0,24.0,3535.0,3355.9499999999953,1.05,250.0,33.2,7.0,0.88
7,2.0,4.0,-65.0,1486.8999999999942,-0.04,250.0,52.4,9.0,0.76
8,2.0,8.0,2735.0,1960.7499999999982,1.39,250.0,54.4,5.0,1.5
9,2.0,12.0,5735.0,2206.6500000000215,2.6,250.0,53.2,6.0,1.85
10,2.0,16.0,5615.0,3515.75,1.6,250.0,48.0,6.0,1.46
11,2.0,20.0,6470.0,4746.849999999997,1.36,250.0,43.6,7.0,1.41
12,2.0,24.0,8065.0,3871.8499999999985,2.08,250.0,40.4,7.0,1.53
13,3.0,4.0,-2305.0,2385.049999999984,-0.97,250.0,46.8,7.0,-1.01
14,3.0,8.0,2250.0,2799.3500000000367,0.8,250.0,54.0,7.0,1.3
15,3.0,12.0,8000.0,2401.8500000000095,3.33,250.0,56.4,6.0,2.45
16,3.0,16.0,3780.0,3517.150000000018,1.07,250.0,49.2,6.0,1.01
17,3.0,20.0,9480.0,3679.650000000007,2.58,250.0,48.4,6.0,1.88
18,3.0,24.0,10420.0,3181.3499999999694,3.28,250.0,44.8,7.0,1.82
19,4.0,4.0,-230.0,2541.249999999998,-0.09,250.0,52.0,7.0,0.63
20,4.0,8.0,4235.0,1894.1499999999978,2.24,250.0,56.4,6.0,2.1
21,4.0,12.0,8180.0,1743.5500000000065,4.69,250.0,56.8,6.0,2.49
22,4.0,16.0,6205.0,3922.2500000000073,1.58,250.0,51.6,10.0,1.5
23,4.0,20.0,9020.0,3692.2499999999836,2.44,250.0,49.6,9.0,1.76
24,4.0,24.0,10855.0,4029.849999999933,2.69,250.0,46.8,6.0,1.84
25,5.0,4.0,-390.0,1484.949999999997,-0.26,250.0,51.6,5.0,0.5
26,5.0,8.0,1970.0,1528.699999999997,1.29,250.0,53.6,5.0,1.19
27,5.0,12.0,3105.0,3232.4500000000116,0.96,250.0,52.8,6.0,1.1
28,5.0,16.0,3165.0,4838.050000000003,0.65,250.0,50.4,7.0,0.85
29,5.0,20.0,3945.0,4968.050000000019,0.79,250.0,48.0,6.0,0.85
30,5.0,24.0,9150.0,6514.84999999998,1.4,250.0,47.6,6.0,1.53
31,6.0,4.0,814.1,836.75,0.97,249.0,54.62,5.0,1.46
32,6.0,8.0,1169.1,3006.9499999999953,0.39,249.0,52.61,9.0,0.87
33,6.0,12.0,2649.1,4621.950000000008,0.57,249.0,52.61,7.0,0.98
34,6.0,16.0,-1250.9,6106.950000000003,-0.2,249.0,48.59,7.0,-0.05
35,6.0,20.0,1914.1,7606.950000000024,0.25,249.0,48.19,6.0,0.49
36,6.0,24.0,8559.1,8234.849999999968,1.04,249.0,48.59,6.0,1.41
37,10.0,4.0,-1900.9,2614.8499999999894,-0.73,249.0,47.79,7.0,-0.7
38,10.0,8.0,-5642.4,6856.8000000000175,-0.82,214.0,42.99,8.0,-2.05
39,10.0,12.0,-3845.9,6159.750000000012,-0.62,249.0,47.79,6.0,-0.75
40,10.0,16.0,-2015.9,6314.050000000008,-0.32,249.0,49.4,6.0,-0.2
41,10.0,20.0,-5739.3,7440.800000000018,-0.77,223.0,45.74,7.0,-0.84
42,10.0,24.0,-5647.0,9801.200000000026,-0.58,220.0,45.0,7.0,-0.71
43,15.0,4.0,819.1,922.9499999999953,0.89,249.0,54.62,5.0,1.46
44,15.0,8.0,-510.9,4082.3500000000113,-0.13,249.0,50.6,8.0,0.2
45,15.0,12.0,3949.1,3852.1500000000233,1.03,249.0,54.22,7.0,1.32
46,15.0,16.0,5634.1,4048.0500000000193,1.39,249.0,54.22,6.0,1.34
47,15.0,20.0,3819.1,5875.750000000029,0.65,249.0,51.81,6.0,0.78
48,15.0,24.0,-610.9,8987.250000000015,-0.07,249.0,49.0,6.0,0.06
49,30.0,4.0,43.700000000000045,1283.75,0.03,243.0,52.67,9.0,0.83
50,30.0,8.0,2798.7,1528.1499999999996,1.83,243.0,55.14,8.0,1.51
51,30.0,12.0,6913.7,2045.0499999999975,3.38,243.0,57.2,6.0,2.13
52,30.0,16.0,7593.7,2943.5499999999993,2.58,243.0,56.38,6.0,1.75
53,30.0,20.0,3183.7,4650.450000000001,0.68,243.0,52.67,8.0,0.69
54,30.0,24.0,1397.8,5864.250000000002,0.24,242.0,51.65,8.0,0.34
