combination,minutes,target,net profit,max drawdown,profit/dd,total trades,percent profitable,max con loss,sharpe ratio
1,1.0,2.0,974.5,1527.4999999998854,0.64,255.0,52.55,9.0,1.3
2,1.0,4.0,1584.5,2837.599999999701,0.56,255.0,40.0,9.0,1.01
3,1.0,6.0,2079.5,2306.9499999998443,0.9,255.0,32.55,14.0,0.98
4,1.0,8.0,5759.5,2079.2499999998363,2.77,255.0,29.8,14.0,1.8
5,1.0,10.0,7589.5,1860.9499999999061,4.08,255.0,27.06,14.0,2.02
6,1.0,12.0,8894.5,1660.9499999999043,5.36,255.0,25.1,14.0,2.11
7,1.0,14.0,5589.5,2948.949999999777,1.9,255.0,22.75,14.0,1.38
8,1.0,16.0,3874.5,2748.949999999775,1.41,255.0,22.35,14.0,1.02
9,2.0,2.0,1719.5,809.449999999988,2.12,255.0,54.9,5.0,1.75
10,2.0,4.0,2389.5,2266.6499999999087,1.05,255.0,45.49,6.0,1.24
11,2.0,6.0,3944.5,2201.749999999949,1.79,255.0,38.04,8.0,1.41
12,2.0,8.0,8073.6,2353.149999999934,3.43,254.0,34.65,10.0,2.2
13,2.0,10.0,9528.6,2253.149999999936,4.23,254.0,31.5,11.0,2.27
14,2.0,12.0,13018.6,2098.549999999923,6.2,254.0,30.31,11.0,2.68
15,2.0,14.0,9936.8,2600.849999999915,3.82,252.0,28.17,14.0,2.04
16,2.0,16.0,9126.8,3478.049999999761,2.62,252.0,27.78,14.0,1.84
17,3.0,2.0,1134.5,1448.0499999999975,0.78,255.0,54.12,5.0,1.37
18,3.0,4.0,1564.5,2150.8499999997657,0.73,255.0,47.84,5.0,0.89
19,3.0,6.0,8719.5,1946.7499999999345,4.48,255.0,45.49,8.0,2.56
20,3.0,8.0,11703.6,2501.749999999931,4.68,254.0,40.94,8.0,2.85
21,3.0,10.0,12923.6,2401.749999999909,5.38,254.0,37.4,13.0,2.77
22,3.0,12.0,15133.6,2729.7499999997635,5.54,254.0,35.04,15.0,2.9
23,3.0,14.0,14207.7,2593.549999999932,5.48,253.0,33.2,15.0,2.65
24,3.0,16.0,13976.8,2593.54999999993,5.39,252.0,32.54,15.0,2.53
25,4.0,2.0,1784.5,1461.949999999997,1.22,255.0,54.9,10.0,1.75
26,4.0,4.0,2274.5,2173.6499999999523,1.05,255.0,49.8,6.0,1.11
27,4.0,6.0,8244.5,2527.7499999999036,3.26,255.0,46.67,8.0,2.36
28,4.0,8.0,9673.6,2861.749999999911,3.38,254.0,41.73,8.0,2.36
29,4.0,10.0,13663.6,2964.7499999997563,4.61,254.0,40.16,8.0,2.86
30,4.0,12.0,12962.7,4414.74999999976,2.94,253.0,36.76,12.0,2.53
31,4.0,14.0,14017.7,3814.74999999976,3.67,253.0,35.97,12.0,2.58
32,4.0,16.0,12156.8,4059.7499999997563,2.99,252.0,34.13,12.0,2.19
33,5.0,2.0,174.5,1666.949999999988,0.1,255.0,52.16,7.0,0.77
34,5.0,4.0,774.5,2308.6499999999305,0.34,255.0,48.63,8.0,0.6
35,5.0,6.0,5193.6,2297.749999999909,2.26,254.0,45.67,8.0,1.57
36,5.0,8.0,8633.6,3209.7499999998217,2.69,254.0,42.52,8.0,2.09
37,5.0,10.0,10788.6,3664.749999999771,2.94,254.0,39.76,9.0,2.26
38,5.0,12.0,10562.7,4419.7499999997635,2.39,253.0,36.76,12.0,2.08
39,5.0,14.0,10057.7,3719.7499999997635,2.7,253.0,34.78,12.0,1.89
40,5.0,16.0,8231.8,3899.749999999789,2.11,252.0,33.33,12.0,1.53
41,6.0,2.0,-1295.5,2283.349999999963,-0.57,255.0,49.02,7.0,-0.16
42,6.0,4.0,-1855.5,3925.1499999997586,-0.47,255.0,47.06,6.0,-0.27
43,6.0,6.0,4013.6,3229.7499999998927,1.24,254.0,46.85,6.0,1.23
44,6.0,8.0,8128.6,4194.74999999984,1.94,254.0,44.49,8.0,1.9
45,6.0,10.0,8253.6,5484.749999999807,1.5,254.0,40.55,9.0,1.73
46,6.0,12.0,10617.7,4709.649999999856,2.25,253.0,39.13,9.0,2.02
47,6.0,14.0,10761.8,4689.649999999856,2.29,252.0,37.7,9.0,1.95
48,6.0,16.0,10076.8,4639.64999999986,2.17,252.0,36.51,9.0,1.76
49,10.0,2.0,-1190.5,2212.3499999999785,-0.54,255.0,49.41,4.0,-0.09
50,10.0,4.0,-415.5,3785.649999999896,-0.11,255.0,49.8,6.0,0.2
51,10.0,6.0,3568.6,4594.849999999897,0.78,254.0,49.61,10.0,1.07
52,10.0,8.0,6478.6,4027.9499999998516,1.61,254.0,47.24,10.0,1.46
53,10.0,10.0,7626.8,5507.949999999799,1.38,252.0,44.44,9.0,1.53
54,10.0,12.0,8436.8,4894.7499999998,1.72,252.0,42.46,9.0,1.56
55,10.0,14.0,7495.0,4877.049999999845,1.54,250.0,40.4,9.0,1.35
56,10.0,16.0,6900.0,5482.049999999854,1.26,250.0,40.0,9.0,1.22
57,15.0,2.0,78.59999999999991,2435.849999999995,0.03,254.0,51.97,7.0,0.7
58,15.0,4.0,2623.6,3594.1499999999414,0.73,254.0,53.15,5.0,1.16
59,15.0,6.0,2738.6,4204.449999999904,0.65,254.0,50.39,6.0,0.83
60,15.0,8.0,6942.7,4530.34999999984,1.53,250.0,49.2,7.0,1.48
61,15.0,10.0,7650.0,4248.149999999929,1.8,247.0,46.56,7.0,1.45
62,15.0,12.0,10215.0,3892.749999999911,2.62,247.0,44.94,7.0,1.76
63,15.0,14.0,12069.1,3718.1499999999214,3.25,246.0,44.31,7.0,1.96
64,15.0,16.0,11078.2,3618.1499999999214,3.06,245.0,43.27,7.0,1.75
65,30.0,2.0,654.1,2213.049999999994,0.3,249.0,53.41,8.0,1.06
66,30.0,4.0,6519.1,1863.5499999999993,3.5,249.0,57.83,7.0,2.45
67,30.0,6.0,9402.3,2995.0499999999956,3.14,247.0,55.87,7.0,2.25
68,30.0,8.0,9535.5,4084.4499999999334,2.33,245.0,53.47,6.0,1.93
69,30.0,10.0,9317.8,4855.349999999915,1.92,242.0,51.24,6.0,1.68
70,30.0,12.0,6586.0,4530.349999999929,1.45,240.0,49.17,6.0,1.17
71,30.0,14.0,6745.1,4315.3499999999085,1.56,239.0,48.12,6.0,1.13
72,30.0,16.0,6599.2,5445.349999999905,1.21,238.0,47.9,6.0,1.08
