date,type,lots,price,S/L,T/P,commission,comment,profit,net profit,accumulated profit,max profit
2018-12-31 09:35:30,Buy,1,6372.75,6348.75,6396.75,2.05,entry_buy,0,-2.05,9997.95,9997.95
2018-12-31 09:50:14,Sell,1,6348.75,6348.75,6396.75,2.05,stop loss,-480.0,-482.05,9515.9,9997.95
2019-01-02 09:34:23,Buy,1,6239.75,6215.75,6263.75,2.05,entry_buy,0,-2.05,9513.85,9997.95
2019-01-02 09:50:27,Sell,1,6263.75,6215.75,6263.75,2.05,take profit,480.0,477.95,9991.8,9997.95
2019-01-03 09:36:59,Sell,1,6277.5,6301.5,6253.5,2.05,entry_sell,0,-2.05,9989.75,9997.95
2019-01-03 09:48:50,Buy,1,6253.5,6301.5,6253.5,2.05,take profit,480.0,477.95,10467.7,10467.7
2019-01-04 09:37:58,Buy,1,6267.0,6243.0,6291.0,2.05,entry_buy,0,-2.05,10465.65,10467.7
2019-01-04 09:44:16,Sell,1,6291.0,6243.0,6291.0,2.05,take profit,480.0,477.95,10943.6,10943.6
2019-01-07 09:34:08,Buy,1,6453.75,6429.75,6477.75,2.05,entry_buy,0,-2.05,10941.55,10943.6
2019-01-07 09:36:00,Sell,1,6429.75,6429.75,6477.75,2.05,stop loss,-480.0,-482.05,10459.5,10943.6
2019-01-08 09:34:00,Buy,1,6577.75,6561.25,6601.75,2.05,entry_buy,0,-2.05,10457.45,10943.6
2019-01-08 09:47:43,Sell,1,6561.25,6561.25,6601.75,2.05,stop loss,-330.0,-332.05,10125.4,10943.6
2019-01-09 09:35:20,Buy,1,6592.5,6569.0,6616.5,2.05,entry_buy,0,-2.05,10123.35,10943.6
2019-01-09 10:44:10,Sell,1,6569.0,6569.0,6616.5,2.05,stop loss,-470.0,-472.05,9651.3,10943.6
2019-01-10 09:34:21,Sell,1,6553.5,6570.0,6529.5,2.05,entry_sell,0,-2.05,9649.25,10943.6
2019-01-10 09:54:25,Buy,1,6529.5,6570.0,6529.5,2.05,take profit,480.0,477.95,10127.2,10943.6
2019-01-11 09:34:51,Buy,1,6598.25,6585.75,6622.25,2.05,entry_buy,0,-2.05,10125.15,10943.6
2019-01-11 09:38:58,Sell,1,6585.75,6585.75,6622.25,2.05,stop loss,-250.0,-252.05,9873.1,10943.6
2019-01-14 09:34:04,Sell,1,6531.25,6553.0,6507.25,2.05,entry_sell,0,-2.05,9871.05,10943.6
2019-01-14 10:19:19,Buy,1,6553.0,6553.0,6507.25,2.05,stop loss,-435.0,-437.05,9434.0,10943.6
2019-01-15 09:34:10,Buy,1,6596.25,6576.0,6620.25,2.05,entry_buy,0,-2.05,9431.95,10943.6
2019-01-15 09:36:42,Sell,1,6620.25,6576.0,6620.25,2.05,take profit,480.0,477.95,9909.9,10943.6
2019-01-16 09:34:02,Buy,1,6701.0,6685.75,6725.0,2.05,entry_buy,0,-2.05,9907.85,10943.6
2019-01-16 09:46:33,Sell,1,6725.0,6685.75,6725.0,2.05,take profit,480.0,477.95,10385.8,10943.6
