date,id,type,lots,price,S/L,T/P,commission,comment,profit,net profit,accumulated profit,max profit
2020-01-30 15:55:02,18,SELL,1,3279.25,3281.0,3278.0,2.05,,0.0,-2.05,-2.05,-2.05
2020-01-30 15:55:35,20,BUY,1,3281.0,0.0,0.0,2.05,,-87.5,-89.55,-91.6,-2.05
2020-01-30 16:01:02,25,BUY,1,3286.75,3285.75,3286.75,2.05,,0.0,-2.05,-93.64999999999999,-2.05
2020-01-30 16:01:04,26,SELL,1,3286.75,0.0,0.0,2.05,,0.0,-2.05,-95.69999999999999,-2.05
2020-01-30 16:04:01,35,BUY,1,3290.5,3289.25,3291.25,2.05,,0.0,-2.05,-97.74999999999999,-2.05
2020-01-30 16:05:28,36,SELL,1,3291.25,0.0,0.0,2.05,,37.5,35.45,-62.29999999999998,-2.05
2020-01-30 16:08:08,48,SELL,1,3290.25,3291.25,3289.25,2.05,,0.0,-2.05,-64.34999999999998,-2.05
2020-01-30 16:08:40,50,BUY,1,3291.25,0.0,0.0,2.05,,-50.0,-52.05,-116.39999999999998,-2.05
2020-01-30 16:46:03,5,BUY,1,3294.0,3292.75,3295.0,2.05,,0.0,-2.05,-118.44999999999997,-2.05
2020-01-30 16:53:50,6,SELL,1,3295.0,0.0,0.0,2.05,,50.0,47.95,-70.49999999999997,-2.05
