combination,minutes,target,trailing,trailing type,net profit,max drawdown,profit/dd,total trades,percent profitable,max con loss,sharpe ratio
1,1,0.1,0.2,traditional,-2340.26,2435.2299999995303,-0.96,187,78.61,3,-2.33
2,1,0.1,0.2,staggered,-2239.74,2321.299999999538,-0.96,140,67.86,3,-2.17
3,1,0.1,0.4,traditional,-1582.4,2200.659999999636,-0.72,253,67.59,6,-0.3
4,1,0.1,0.4,staggered,-2134.48,2909.8499999996184,-0.73,190,55.79,6,-0.91
5,1,0.1,0.6,traditional,-2208.7,3469.849999999644,-0.64,240,57.08,6,-0.78
6,1,0.1,0.6,staggered,-2739.74,3835.629999999628,-0.71,209,50.24,8,-1.29
7,1,0.1,0.8,traditional,-1313.96,2695.109999999644,-0.49,251,51.0,6,-0.07
8,1,0.1,0.8,staggered,-1680.26,3016.149999999636,-0.56,239,48.54,6,-0.34
9,1,0.15,0.2,traditional,-3310.26,3401.8199999994367,-0.97,203,71.43,3,-2.95
10,1,0.15,0.2,staggered,-2905.0,2986.5599999995065,-0.97,160,62.5,5,-2.43
11,1,0.15,0.4,traditional,-2423.44,3789.8499999996566,-0.64,241,57.26,6,-0.91
12,1,0.15,0.4,staggered,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
13,1,0.15,0.6,traditional,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
14,1,0.15,0.6,staggered,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
15,1,0.15,0.8,traditional,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
16,1,0.15,0.8,staggered,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
17,1,0.2,0.2,traditional,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
18,1,0.2,0.2,staggered,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
19,1,0.2,0.4,traditional,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
20,1,0.2,0.4,staggered,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
21,1,0.2,0.6,traditional,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
22,1,0.2,0.6,staggered,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
23,1,0.2,0.8,traditional,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
24,1,0.2,0.8,staggered,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
25,1,0.25,0.2,traditional,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
26,1,0.25,0.2,staggered,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
27,1,0.25,0.4,traditional,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
28,1,0.25,0.4,staggered,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
29,1,0.25,0.6,traditional,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
30,1,0.25,0.6,staggered,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
31,1,0.25,0.8,traditional,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
32,1,0.25,0.8,staggered,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
33,1,0.3,0.2,traditional,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
34,1,0.3,0.2,staggered,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
35,1,0.3,0.4,traditional,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
36,1,0.3,0.4,staggered,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
37,1,0.3,0.6,traditional,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
