combination,minutes,target,trailing,trailing type,net profit,max drawdown,profit/dd,total trades,percent profitable,max con loss,sharpe ratio
1,1,0.5,0.2,traditional,-887.5,1138.8500000000004,-0.78,250,82.8,2,0.16
2,1,0.5,0.2,staggered,-887.5,1138.8500000000004,-0.78,250,82.8,2,0.16
3,1,0.5,0.4,traditional,-2201.9,2319.899999999987,-0.95,94,72.34,4,-2.72
4,1,0.5,0.4,staggered,-2983.2,3038.5000000000164,-0.98,62,58.06,4,-7.13
5,1,0.5,0.6,traditional,-2201.9,2319.899999999987,-0.95,94,72.34,4,-2.72
6,1,0.5,0.6,staggered,-2983.2,3038.5000000000164,-0.98,62,58.06,4,-7.13
7,1,0.5,0.8,traditional,575.0,728.25,0.79,274,84.31,2,2.18
8,1,0.5,0.8,staggered,70.09999999999991,899.3500000000004,0.08,250,82.8,2,1.7
9,1,1.0,0.2,traditional,-3279.1,3279.3000000000293,-1.0,61,57.38,4,-8.76
10,1,1.0,0.2,staggered,-3150.0,3171.900000000027,-0.99,55,38.18,10,-8.18
11,1,1.0,0.4,traditional,-3865.6,3999.4000000000215,-0.97,122,64.75,4,-4.83
12,1,1.0,0.4,staggered,-3878.1,4036.9000000000115,-0.96,92,53.26,6,-5.6
13,1,1.0,0.6,traditional,-3865.6,3999.4000000000215,-0.97,122,64.75,4,-4.83
14,1,1.0,0.6,staggered,-3878.1,4036.9000000000115,-0.96,92,53.26,6,-5.6
15,1,1.0,0.8,traditional,-1419.1,1782.5999999999876,-0.8,202,70.3,5,-0.28
16,1,1.0,0.8,staggered,-2170.3,2521.2999999999865,-0.86,179,66.48,5,-1.2
17,1,1.5,0.2,traditional,-3337.5,3337.700000000029,-1.0,60,56.67,4,-9.25
18,1,1.5,0.2,staggered,-3162.5,3160.450000000028,-1.0,54,35.19,10,-8.12
19,1,1.5,0.4,traditional,-4612.3,4662.700000000052,-0.99,109,60.55,4,-7.12
20,1,1.5,0.4,staggered,-4862.3,4900.200000000054,-0.99,78,42.31,6,-9.41
21,1,1.5,0.6,traditional,-1532.8,1614.7499999999836,-0.95,216,66.2,4,-0.39
22,1,1.5,0.6,staggered,-1391.4,1473.149999999987,-0.94,186,60.75,4,-0.3
23,1,1.5,0.8,traditional,-1237.1,1590.1499999999942,-0.78,223,61.43,5,-0.14
24,1,1.5,0.8,staggered,-1554.1,1848.749999999991,-0.84,217,60.37,5,-0.39
25,1,2.0,0.2,traditional,-4754.1,4804.50000000005,-0.99,107,59.81,4,-7.64
26,1,2.0,0.2,staggered,-4954.1,4992.000000000054,-0.99,76,40.79,6,-9.93
27,1,2.0,0.4,traditional,-3816.4,4108.600000000028,-0.93,180,66.67,5,-3.06
28,1,2.0,0.4,staggered,-3499.8,3692.400000000015,-0.95,129,53.49,5,-3.06
29,1,2.0,0.6,traditional,-1387.1,1827.6499999999942,-0.76,223,61.43,5,-0.24
30,1,2.0,0.6,staggered,-1787.5,2132.1499999999933,-0.84,182,52.75,5,-0.59
31,1,2.0,0.8,traditional,-824.8,1677.0499999999993,-0.49,232,59.91,5,0.13
32,1,2.0,0.8,staggered,-1187.5,1697.949999999999,-0.7,208,55.29,5,-0.11
33,1,2.5,0.2,traditional,-4862.5,4912.9000000000515,-0.99,106,59.43,4,-8.07
34,1,2.5,0.2,staggered,-5062.5,5100.400000000053,-0.99,75,40.0,6,-10.52
35,1,2.5,0.4,traditional,-2687.3,2699.99999999999,-1.0,211,65.4,4,-1.36
36,1,2.5,0.4,staggered,-1854.1,1911.449999999989,-0.97,156,53.21,4,-0.74
37,1,2.5,0.6,traditional,-1070.7,1814.349999999995,-0.59,231,59.74,5,-0.02
38,1,2.5,0.6,staggered,-937.5,1897.7499999999945,-0.49,187,50.27,5,0.06
39,1,2.5,0.8,traditional,-1008.2,1800.449999999999,-0.56,237,53.59,5,0.01
40,1,2.5,0.8,staggered,-975.0,1879.5499999999993,-0.52,225,51.11,5,0.03
41,1,3.0,0.2,traditional,-4862.5,4912.9000000000515,-0.99,106,59.43,4,-8.07
42,1,3.0,0.2,staggered,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
43,1,3.0,0.4,traditional,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
44,1,3.0,0.4,staggered,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
45,1,3.0,0.6,traditional,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
46,1,3.0,0.6,staggered,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
47,1,3.0,0.8,traditional,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
48,1,3.0,0.8,staggered,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
49,1,3.5,0.2,traditional,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
50,1,3.5,0.2,staggered,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
51,1,3.5,0.4,traditional,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
52,1,3.5,0.4,staggered,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
