combination,minutes,target,trailing,trailing type,net profit,max drawdown,profit/dd,total trades,percent profitable,max con loss,sharpe ratio
1,1,2.0,0.2,traditional,-2150.5,2193.199999998853,-0.98,221,84.62,3,-1.54
2,1,2.0,0.2,staggered,-1395.5,1475.0499999989006,-0.95,182,81.32,3,-0.48
3,1,2.0,0.4,traditional,1209.5,1035.6499999998232,1.17,253,77.47,3,1.84
4,1,2.0,0.4,staggered,1614.5,580.6499999998723,2.78,199,71.36,3,2.3
5,1,2.0,0.6,traditional,2094.5,630.649999999896,3.32,247,70.04,3,2.21
6,1,2.0,0.6,staggered,2239.5,578.0499999999811,3.87,213,65.26,3,2.43
7,1,2.0,0.8,traditional,899.5,890.499999999749,1.01,252,61.9,3,1.14
8,1,2.0,0.8,staggered,914.5,850.4999999997417,1.08,242,60.33,3,1.17
9,1,4.0,0.2,traditional,1764.5,960.6499999997995,1.84,253,77.47,3,2.14
10,1,4.0,0.2,staggered,2754.5,530.8499999999385,5.19,199,71.36,3,2.87
11,1,4.0,0.4,traditional,2719.5,1110.8499999997293,2.45,252,61.9,3,1.91
12,1,4.0,0.4,staggered,2285.4,1258.3499999998203,1.82,215,55.35,4,1.75
13,1,4.0,0.6,traditional,3049.5,902.8499999998457,3.38,251,54.98,5,1.82
14,1,4.0,0.6,staggered,2369.5,904.0499999999229,2.62,221,48.87,5,1.59
15,1,4.0,0.8,traditional,1399.5,1315.1499999998196,1.06,253,45.85,5,0.99
16,1,4.0,0.8,staggered,1384.5,1291.9999999997563,1.07,242,43.39,6,1.0
17,1,6.0,0.2,traditional,3659.5,663.5499999999483,5.52,247,70.04,3,2.78
18,1,6.0,0.2,staggered,4079.5,806.7499999999527,5.06,205,63.9,3,3.06
19,1,6.0,0.4,traditional,4074.5,1112.8499999998403,3.66,251,54.98,5,2.08
20,1,6.0,0.4,staggered,2724.5,1095.6499999997868,2.49,211,46.45,5,1.6
21,1,6.0,0.6,traditional,2789.5,1404.2999999999338,1.99,253,43.48,6,1.34
22,1,6.0,0.6,staggered,3779.5,1156.9999999999436,3.27,234,38.89,6,1.68
23,1,6.0,0.8,traditional,4759.5,1141.9999999999454,4.17,255,38.43,6,1.83
24,1,6.0,0.8,staggered,5069.5,1156.9999999999436,4.38,247,36.44,6,1.94
25,1,8.0,0.2,traditional,3154.5,1120.8499999997239,2.81,252,61.9,3,2.01
26,1,8.0,0.2,staggered,3004.5,1509.9499999996806,1.99,214,55.14,4,1.91
27,1,8.0,0.4,traditional,2864.5,1615.1499999997723,1.77,253,45.85,5,1.34
28,1,8.0,0.4,staggered,4139.5,1319.2999999999192,3.14,225,39.11,6,1.72
29,1,8.0,0.6,traditional,7539.5,1364.2999999999247,5.53,255,38.43,6,2.38
30,1,8.0,0.6,staggered,8884.5,1191.7499999999545,7.46,243,35.39,8,2.72
31,1,8.0,0.8,traditional,7319.5,1411.7499999999545,5.18,254,33.46,8,2.21
32,1,8.0,0.8,staggered,7879.5,1416.7499999999545,5.56,251,32.67,8,2.35
33,1,10.0,0.2,traditional,4044.5,1263.2499999998909,3.2,252,57.94,3,2.09
34,1,10.0,0.2,staggered,3984.5,1158.3499999998385,3.44,213,50.23,4,2.04
35,1,10.0,0.4,traditional,6739.5,1539.2999999999247,4.38,252,42.46,6,2.25
36,1,10.0,0.4,staggered,9654.5,1261.8499999998567,7.65,232,37.5,8,2.89
37,1,10.0,0.6,traditional,7894.5,1616.7499999999436,4.88,255,34.51,8,2.21
38,1,10.0,0.6,staggered,8539.5,1353.7499999998327,6.31,239,30.13,8,2.35
39,1,10.0,0.8,traditional,8124.5,1404.9499999999298,5.78,255,31.37,9,2.18
40,1,10.0,0.8,staggered,8474.5,1414.9499999999225,5.99,243,27.98,9,2.29
41,1,12.0,0.2,traditional,5439.5,1172.8499999998276,4.64,251,54.98,5,2.37
42,1,12.0,0.2,staggered,5004.5,1224.0499999999138,4.09,211,46.45,5,2.15
43,1,12.0,0.4,traditional,8239.5,1202.3499999998912,6.85,255,38.43,6,2.35
44,1,12.0,0.4,staggered,9364.5,1304.449999999928,7.18,232,32.33,8,2.53
45,1,12.0,0.6,traditional,8214.5,1561.7499999999454,5.26,255,32.16,9,2.12
46,1,12.0,0.6,staggered,8609.5,1616.3499999998967,5.33,239,27.62,9,2.18
47,1,12.0,0.8,traditional,9544.5,1786.3499999999003,5.34,255,28.24,11,2.28
48,1,12.0,0.8,staggered,9269.5,1821.349999999904,5.09,251,27.09,11,2.23
49,1,14.0,0.2,traditional,4599.5,1099.2999999999374,4.18,252,50.0,5,1.97
50,1,14.0,0.2,staggered,4204.5,1294.2999999999302,3.25,220,42.73,5,1.77
51,1,14.0,0.4,traditional,7089.5,1759.2999999999174,4.03,255,34.9,8,1.95
52,1,14.0,0.4,staggered,8664.5,1636.549999999792,5.29,237,29.96,8,2.18
53,1,14.0,0.6,traditional,6829.5,1938.149999999936,3.52,254,29.13,11,1.72
54,1,14.0,0.6,staggered,6464.5,2124.749999999849,3.04,240,25.0,15,1.64
55,1,14.0,0.8,traditional,8064.5,2029.74999999984,3.97,255,26.67,11,1.89
56,1,14.0,0.8,staggered,7309.5,2279.7499999998417,3.21,248,24.6,11,1.76
57,1,16.0,0.2,traditional,2699.5,1535.149999999756,1.76,253,45.85,5,1.25
58,1,16.0,0.2,staggered,3604.5,1420.649999999734,2.54,225,39.56,6,1.45
59,1,16.0,0.4,traditional,5389.5,1547.3499999998749,3.48,254,33.86,8,1.57
60,1,16.0,0.4,staggered,5754.5,2529.2499999996708,2.28,233,27.9,8,1.55
61,1,16.0,0.6,traditional,6259.5,2091.3499999998894,2.99,255,28.63,11,1.58
62,1,16.0,0.6,staggered,4989.5,2421.3499999998858,2.06,244,25.0,11,1.3
63,1,16.0,0.8,traditional,5449.5,2554.7499999998436,2.13,255,25.1,11,1.36
64,1,16.0,0.8,staggered,4389.5,2604.7499999998454,1.69,251,23.51,11,1.14
65,2,2.0,0.2,traditional,-750.5,1056.1499999994903,-0.71,229,90.39,3,0.4
66,2,2.0,0.2,staggered,246.29999999999995,850.1499999998377,0.29,187,88.24,3,1.71
67,2,2.0,0.4,traditional,1086.3,886.1499999995176,1.23,252,80.56,3,1.62
68,2,2.0,0.4,staggered,1184.5,1025.2499999996107,1.16,204,75.98,3,1.8
69,2,2.0,0.6,traditional,1969.5,917.0499999997028,2.15,250,75.2,3,1.96
70,2,2.0,0.6,staggered,2349.5,1099.9499999997788,2.14,213,70.89,3,2.33
71,2,2.0,0.8,traditional,834.5,1380.9499999999207,0.6,253,67.19,3,1.03
72,2,2.0,0.8,staggered,984.5,1390.9499999999116,0.71,242,65.7,3,1.13
