combination,minutes,target,trailing,trailing type,net profit,max drawdown,profit/dd,total trades,percent profitable,max con loss,sharpe ratio
1,1,4.0,0.2,traditional,-1853.2,2224.549999999992,-0.83,171,90.06,2,-1.27
2,1,4.0,0.2,staggered,-1799.1,2144.5499999999856,-0.84,90,65.56,5,-1.49
3,1,4.0,0.4,traditional,-1696.9,2153.2499999999864,-0.79,223,86.1,2,-0.58
4,1,4.0,0.4,staggered,-1968.2,2281.849999999993,-0.86,125,72.8,4,-1.09
5,1,4.0,0.6,traditional,1783.0,1042.1499999999996,1.71,255,81.57,4,1.81
6,1,4.0,0.6,staggered,944.5,1235.7499999999945,0.76,181,73.48,4,1.46
7,1,4.0,0.8,traditional,1563.5,1155.949999999997,1.35,255,77.65,4,1.49
8,1,4.0,0.8,staggered,850.4000000000001,1302.349999999993,0.65,213,72.77,4,1.17
9,1,8.0,0.2,traditional,-2490.0,2784.550000000014,-0.89,214,85.51,2,-1.42
10,1,8.0,0.2,staggered,-2094.1,2457.7500000000027,-0.85,124,70.97,4,-1.22
11,1,8.0,0.4,traditional,994.5,981.7499999999982,1.01,245,76.73,4,1.1
12,1,8.0,0.4,staggered,1020.9000000000001,1248.3499999999913,0.82,155,62.58,4,1.32
13,1,8.0,0.6,traditional,-1349.1,2368.849999999996,-0.57,243,66.26,5,-0.13
14,1,8.0,0.6,staggered,-890.0,2368.8499999999967,-0.38,185,55.68,5,0.06
15,1,8.0,0.8,traditional,-529.0999999999999,2382.5499999999993,-0.22,246,60.16,5,0.18
16,1,8.0,0.8,staggered,-290.0,2302.5499999999993,-0.13,224,56.25,5,0.28
17,1,12.0,0.2,traditional,-370.0,1524.2500000000018,-0.24,235,80.0,4,0.43
18,1,12.0,0.2,staggered,720.0,1205.949999999999,0.6,156,69.23,4,1.26
19,1,12.0,0.4,traditional,-1919.1,2574.0499999999956,-0.75,243,66.26,5,-0.36
20,1,12.0,0.4,staggered,-1560.0,2684.9499999999953,-0.58,166,50.6,5,-0.24
21,1,12.0,0.6,traditional,-540.0,2999.149999999997,-0.18,249,58.23,5,0.16
22,1,12.0,0.6,staggered,690.0,2848.649999999996,0.24,197,47.21,6,0.61
23,1,12.0,0.8,traditional,350.0,2526.849999999996,0.14,248,51.61,5,0.41
24,1,12.0,0.8,staggered,535.0,2560.9499999999953,0.21,226,46.9,6,0.48
25,1,16.0,0.2,traditional,405.0,1156.8500000000004,0.35,240,76.25,4,0.77
26,1,16.0,0.2,staggered,950.0,1584.4499999999935,0.6,154,62.34,4,1.19
27,1,16.0,0.4,traditional,-665.0,2933.149999999998,-0.23,245,60.0,5,0.12
28,1,16.0,0.4,staggered,2120.0,2328.149999999998,0.91,181,45.86,6,1.1
29,1,16.0,0.6,traditional,3675.0,2008.6500000000106,1.83,248,51.61,5,1.26
30,1,16.0,0.6,staggered,3810.0,2205.150000000014,1.73,211,42.65,6,1.37
31,1,16.0,0.8,traditional,3970.0,2205.150000000016,1.8,249,45.38,6,1.22
32,1,16.0,0.8,staggered,3950.0,2310.150000000016,1.71,238,42.86,6,1.24
33,1,20.0,0.2,traditional,-599.0999999999999,1952.449999999999,-0.31,241,70.95,5,0.18
