date,type,lots,price,S/L,T/P,commission,comment,profit,net profit,accumulated profit,max profit
2019-01-31 09:32:24,Sell,1,2678.25,2681.0,2677.75,2.05,entry_sell,0,-2.05,9997.95,9997.95
2019-01-31 09:33:32,Buy,1,2677.75,2678.25,2677.75,2.05,take profit,25.0,22.95,10020.9,10020.9
2019-02-01 09:31:05,Buy,1,2705.5,2703.25,2706.0,2.05,entry_buy,0,-2.05,10018.85,10020.9
2019-02-01 09:31:36,Sell,1,2706.0,2705.5,2706.0,2.05,take profit,25.0,22.95,10041.8,10041.8
2019-02-04 09:31:27,Sell,1,2702.5,2705.0,2702.0,2.05,entry_sell,0,-2.05,10039.75,10041.8
2019-02-04 09:31:35,Buy,1,2702.5,2702.5,2702.0,2.05,stop loss,0.0,-2.05,10037.7,10041.8
2019-02-04 09:31:35,Buy,1,2702.0,2702.5,2702.0,2.05,take profit,0,-2.05,10035.65,10041.8
2019-02-04 09:31:36,Sell,1,2702.75,2702.75,2705.75,2.05,stop loss,37.5,35.45,10071.1,10071.1
2019-02-05 09:31:09,Buy,1,2728.5,2726.75,2729.0,2.05,entry_buy,0,-2.05,10069.05,10071.1
2019-02-05 09:31:29,Sell,1,2729.0,2728.5,2729.0,2.05,take profit,25.0,22.95,10092.0,10092.0
2019-02-06 09:31:02,Buy,1,2733.0,2730.75,2733.5,2.05,entry_buy,0,-2.05,10089.95,10092.0
2019-02-06 09:31:42,Sell,1,2733.5,2733.0,2733.5,2.05,take profit,25.0,22.95,10112.9,10112.9
2019-02-07 09:35:28,Sell,1,2710.25,2713.5,2709.75,2.05,entry_sell,0,-2.05,10110.85,10112.9
2019-02-07 09:37:03,Buy,1,2709.75,2709.75,2709.75,2.05,stop loss,25.0,22.95,10133.8,10133.8
2019-02-07 09:37:03,Buy,1,2709.75,2709.75,2709.75,2.05,take profit,0,-2.05,10131.75,10133.8
2019-02-07 09:37:04,Sell,1,2710.5,2710.5,2714.25,2.05,stop loss,37.5,35.45,10167.2,10167.2
2019-02-08 09:31:02,Buy,1,2692.75,2689.75,2693.25,2.05,entry_buy,0,-2.05,10165.15,10167.2
2019-02-08 09:31:11,Sell,1,2693.25,2692.75,2693.25,2.05,take profit,25.0,22.95,10188.1,10188.1
2019-02-11 09:32:44,Sell,1,2713.0,2716.0,2712.5,2.05,entry_sell,0,-2.05,10186.05,10188.1
