date,type,lots,price,S/L,T/P,commission,comment,profit,net profit,accumulated profit,max profit
2018-08-16 09:46:36,Buy,1,64.64,64.44,65.14,2.37,entry_buy,0,-2.37,9997.63,9997.63
2018-08-16 09:58:26,Sell,1,64.64,64.64,65.14,2.37,stop loss,0.0,-2.37,9995.26,9997.63
2018-08-17 09:41:08,Sell,1,65.55,65.73,65.05,2.37,entry_sell,0,-2.37,9992.89,9997.63
2018-08-17 10:14:17,Buy,1,65.45,65.45,65.05,2.37,stop loss,99.99999999999432,97.62999999999431,10090.519999999995,10090.519999999995
2018-08-20 09:41:06,Buy,1,65.29,64.94,65.79,2.37,entry_buy,0,-2.37,10088.149999999994,10090.519999999995
2018-08-20 10:05:26,Sell,1,65.39,65.39,65.79,2.37,stop loss,99.99999999999432,97.62999999999431,10185.779999999988,10185.779999999988
2018-08-21 09:44:20,Sell,1,66.3,66.49,65.8,2.37,entry_sell,0,-2.37,10183.409999999989,10185.779999999988
2018-08-21 10:37:00,Buy,1,66.2,66.2,65.8,2.37,stop loss,99.99999999999432,97.62999999999431,10281.039999999983,10281.039999999983
2018-08-22 10:03:58,Buy,1,67.32000000000001,67.14,67.82000000000001,2.37,entry_buy,0,-2.37,10278.669999999984,10281.039999999983
2018-08-22 10:11:49,Sell,1,67.32000000000001,67.32000000000001,67.82000000000001,2.37,stop loss,0.0,-2.37,10276.299999999983,10281.039999999983
2018-08-23 09:47:36,Buy,1,67.55000000000001,67.32,68.05000000000001,2.37,entry_buy,0,-2.37,10273.929999999982,10281.039999999983
2018-08-23 10:00:03,Sell,1,67.55000000000001,67.55000000000001,68.05000000000001,2.37,stop loss,0.0,-2.37,10271.559999999983,10281.039999999983
2018-08-24 09:49:24,Buy,1,69.2,68.92,69.7,2.37,entry_buy,0,-2.37,10269.189999999982,10281.039999999983
2018-08-24 09:54:11,Sell,1,69.2,69.2,69.7,2.37,stop loss,0.0,-2.37,10266.819999999983,10281.039999999983
2018-08-27 09:50:06,Buy,1,68.91000000000001,68.76,69.41000000000001,2.37,entry_buy,0,-2.37,10264.449999999983,10281.039999999983
2018-08-27 10:00:05,Sell,1,68.76,68.76,69.41000000000001,2.37,stop loss,-150.00000000000568,-152.3700000000057,10112.079999999976,10281.039999999983
2018-08-28 10:06:22,Sell,1,68.74,68.99,68.24,2.37,entry_sell,0,-2.37,10109.709999999977,10281.039999999983
2018-08-28 10:35:07,Buy,1,68.64,68.64,68.24,2.37,stop loss,99.99999999999432,97.62999999999431,10207.339999999971,10281.039999999983
2018-08-29 09:41:20,Buy,1,69.18,69.06,69.68,2.37,entry_buy,0,-2.37,10204.969999999972,10281.039999999983
2018-08-29 09:50:52,Sell,1,69.06,69.06,69.68,2.37,stop loss,-120.00000000000455,-122.37000000000455,10082.599999999968,10281.039999999983
2018-08-30 10:15:14,Buy,1,69.9,69.57,70.4,2.37,entry_buy,0,-2.37,10080.229999999967,10281.039999999983
2018-08-30 10:39:15,Sell,1,69.9,69.9,70.4,2.37,stop loss,0.0,-2.37,10077.859999999968,10281.039999999983
2018-08-31 10:01:08,Sell,1,69.89,70.08,69.39,2.37,entry_sell,0,-2.37,10075.489999999967,10281.039999999983
2018-08-31 10:25:55,Buy,1,70.08,70.08,69.39,2.37,stop loss,-189.99999999999773,-192.36999999999773,9883.11999999997,10281.039999999983
2018-09-03 09:52:19,Buy,1,69.98,69.86,70.48,2.37,entry_buy,0,-2.37,9880.749999999969,10281.039999999983
2018-09-03 10:43:03,Sell,1,70.08,70.08,70.48,2.37,stop loss,99.99999999999432,97.62999999999431,9978.379999999963,10281.039999999983
2018-09-04 09:47:28,Sell,1,70.52,70.69,70.02,2.37,entry_sell,0,-2.37,9976.009999999964,10281.039999999983
2018-09-04 09:53:14,Buy,1,70.52,70.52,70.02,2.37,stop loss,0.0,-2.37,9973.639999999963,10281.039999999983
2018-09-05 09:40:40,Buy,1,69.56,69.21,70.06,2.37,entry_buy,0,-2.37,9971.269999999964,10281.039999999983
2018-09-05 10:02:51,Sell,1,69.21,69.21,70.06,2.37,stop loss,-350.0000000000085,-352.37000000000853,9618.899999999954,10281.039999999983
2018-09-06 10:20:24,Buy,1,68.86,68.66,69.36,2.37,entry_buy,0,-2.37,9616.529999999955,10281.039999999983
2018-09-06 10:42:36,Sell,1,68.66,68.66,69.36,2.37,stop loss,-200.00000000000284,-202.37000000000285,9414.159999999953,10281.039999999983
2018-09-07 09:53:32,Buy,1,67.23,66.86,67.73,2.37,entry_buy,0,-2.37,9411.789999999952,10281.039999999983
2018-09-07 09:58:21,Sell,1,67.23,67.23,67.73,2.37,stop loss,0.0,-2.37,9409.419999999953,10281.039999999983
2018-09-10 09:49:53,Buy,1,68.37,68.17,68.87,2.37,entry_buy,0,-2.37,9407.049999999952,10281.039999999983
2018-09-10 09:56:59,Sell,1,68.37,68.37,68.87,2.37,stop loss,0.0,-2.37,9404.679999999953,10281.039999999983
2018-09-11 09:42:30,Sell,1,67.66,67.83,67.16,2.37,entry_sell,0,-2.37,9402.309999999952,10281.039999999983
2018-09-11 10:01:15,Buy,1,67.83,67.83,67.16,2.37,stop loss,-170.0000000000017,-172.3700000000017,9229.93999999995,10281.039999999983
2018-09-12 09:45:52,Buy,1,70.25,70.12,70.75,2.37,entry_buy,0,-2.37,9227.56999999995,10281.039999999983
2018-09-12 10:27:18,Sell,1,70.35,70.35,70.75,2.37,stop loss,99.99999999999432,97.62999999999431,9325.199999999944,10281.039999999983
2018-09-13 10:00:06,Buy,1,69.5,69.17,70.0,2.37,entry_buy,0,-2.37,9322.829999999945,10281.039999999983
2018-09-13 10:01:01,Sell,1,69.56999999999998,69.56999999999998,70.0,2.37,stop loss,69.99999999997897,67.62999999997896,9390.459999999923,10281.039999999983
2018-09-14 09:43:09,Sell,1,68.64999999999999,68.8,68.14999999999999,2.37,entry_sell,0,-2.37,9388.089999999924,10281.039999999983
2018-09-14 10:07:53,Buy,1,68.14999999999999,68.25000000000001,68.14999999999999,2.37,take profit,500.0,497.63,9885.719999999923,10281.039999999983
2018-09-17 09:41:37,Buy,1,69.32000000000001,69.17,69.82000000000001,2.37,entry_buy,0,-2.37,9883.349999999924,10281.039999999983
2018-09-17 09:58:13,Sell,1,69.17,69.17,69.82000000000001,2.37,stop loss,-150.00000000000568,-152.3700000000057,9730.979999999918,10281.039999999983
2018-09-18 09:43:23,Buy,1,69.94000000000001,69.56,70.44000000000001,2.37,entry_buy,0,-2.37,9728.609999999919,10281.039999999983
2018-09-18 09:56:48,Sell,1,70.04,70.04,70.44000000000001,2.37,stop loss,99.99999999999432,97.62999999999431,9826.239999999912,10281.039999999983
2018-09-19 10:02:19,Buy,1,70.01,69.77,70.51,2.37,entry_buy,0,-2.37,9823.869999999912,10281.039999999983
2018-09-19 10:18:18,Sell,1,70.21,70.21,70.51,2.37,stop loss,199.99999999998863,197.62999999998863,10021.499999999902,10281.039999999983
2018-09-20 09:40:38,Sell,1,70.99,71.26,70.49,2.37,entry_sell,0,-2.37,10019.129999999901,10281.039999999983
2018-09-20 09:48:43,Buy,1,70.69000000000001,70.69000000000001,70.49,2.37,stop loss,299.99999999998295,297.62999999998294,10316.759999999884,10316.759999999884
2018-09-21 09:50:13,Buy,1,71.11,70.87,71.61,2.37,entry_buy,0,-2.37,10314.389999999883,10316.759999999884
2018-09-21 10:18:39,Sell,1,71.61,71.50999999999998,71.61,2.37,take profit,500.0,497.63,10812.019999999884,10812.019999999884
